"rrg"	"ticker"	"window_lm"	"marginabile"	"name"	"min_date_window"	"estimate"	"p.value"	"adj.r.squared"
1	"FBK.MI"	45	NA	"FINECOBANK"	2025-03-25	0.0429973649538867	0.000313634774626488	0.246086900586712
1	"BGN.MI"	45	"si"	"BANCA GENERALI"	2025-03-25	0.142911725955204	0.000414459953925892	0.236788533255228
1	"IGD.MI"	45	NA	NA	2025-03-25	0.00406851119894598	0.000613170917700768	0.223569098810354
1	"PLC.MI"	45	NA	"PLC"	2025-03-25	0.00261923583662714	0.000943619394023729	0.208814791503629
1	"ISP.MI"	45	"si"	"INTESA SANPAOLO"	2025-03-25	0.0110210803689064	0.00108839681794732	0.203883071421515
1	"A2A.MI"	45	"si"	"A2A"	2025-03-25	0.00345191040843214	0.00114664659379592	0.202076083972076
1	"PVN.MI"	45	NA	"PIOVAN"	2025-01-30	0.00113965744400517	0.00345588655795571	0.163162342232723
1	"SPM.MI"	45	"si"	"SAIPEM"	2025-03-25	0.00549275362318841	0.00622354007361943	0.141931836296605
1	"BST.MI"	45	NA	"BANCA SISTEMA"	2025-03-25	0.00341370223978919	0.00852427886501341	0.130462587996171
1	"BZU.MI"	45	NA	"BUZZI"	2025-03-25	0.0718629776021079	0.0087986170447626	0.129303755330573
1	"BMPS.MI"	45	NA	"BANCA MONTE PASCHI SIENA"	2025-03-25	0.0174413702239789	0.0137106386496203	0.113010682688311
1	"CALT.MI"	45	NA	"CALTAGIRONE"	2025-03-25	0.00804479578392626	0.022570162759347	0.0945928844605566
