"ticker"	"method"	"equity"
"DLG.MI"	"rtt_5020"	113145
"INW.MI"	"rbo_100"	112992
"REY.MI"	"rtt_5020"	112991
"SSL.MI"	"rtt_5020"	112988
"NVP.MI"	"rbo_100"	112978
"CY4.MI"	"rbo_100"	112816
"RLT.MI"	"rtt_5020"	112707
"ENEL.MI"	"rema_50100150"	112543
"IRC.MI"	"rtt_5020"	112511
"CIR.MI"	"rema_50100150"	112500
"PLC.MI"	"rtt_5020"	112466
"RETI.MI"	"rtt_5020"	112227
"SFL.MI"	"rrg"	112194
"LUVE.MI"	"rrg"	112108
"SIT.MI"	"rtt_5020"	111986
"RWAY.MI"	"rema_50100150"	111544
"CIRC.MI"	"rema_50100150"	111532
"ERG.MI"	"rbo_100"	111526
"MASI.MI"	"rtt_5020"	111318
"PMT.MI"	"rtt_5020"	111276
"SERI.MI"	"rrg"	111220
"US.MI"	"rema_50100150"	111050
"FUM.MI"	"rrg"	111005
"TSL.MI"	"rtt_5020"	110990
"SOM.MI"	"rtt_5020"	110913
"FILA.MI"	"rtt_5020"	110561
"DIA.MI"	"rtt_5020"	110511
"OVS.MI"	"rrg"	110484
"OSA.MI"	"rsma_50100150"	110420
"GIS.MI"	"rbo_100"	110220
"ILTY.MI"	"rsma_50100150"	110178
"LMG.MI"	"rsma_50100150"	110080
"IVS.MI"	"rtt_5020"	110038
"WBS.MI"	"rsma_50100150"	110017
"BO.MI"	"rrg"	109879
"SRI.MI"	"rbo_100"	109877
"RAT.MI"	"rema_50100150"	109858
"STLAM.MI"	"rbo_100"	109630
"A2A.MI"	"rema_50100150"	109540
"SRS.MI"	"rtt_5020"	109501
"PWS.MI"	"rema_50100150"	109460
"BAN.MI"	"rtt_5020"	109353
"GEO.MI"	"rtt_5020"	109011
"DHH.MI"	"rbo_100"	108980
"IGD.MI"	"rrg"	108925
"DOV.MI"	"rsma_50100150"	108858
"VE.MI"	"rtt_5020"	108829
"INDB.MI"	"rrg"	108750
"SCF.MI"	"rema_50100150"	108712
"BIA.MI"	"rtt_5020"	108440
"B.MI"	"rema_50100150"	108041
"IB.MI"	"rrg"	108023
"OS.MI"	"rrg"	108023
"IRE.MI"	"rema_50100150"	107998
"DGT.MI"	"rrg"	107886
"G.MI"	"rtt_5020"	107878
"AMB.MI"	"rtt_5020"	107864
"MB.MI"	"rtt_5020"	107684
"DBA.MI"	"rema_50100150"	107650
"GHC.MI"	"rrg"	107612
"GPI.MI"	"rtt_5020"	107426
"MNL.MI"	"rtt_5020"	107361
"BEC.MI"	"rema_50100150"	107254
"REC.MI"	"rema_50100150"	107082
"ZEST.MI"	"rsma_50100150"	107020
"NEXI.MI"	"rsma_50100150"	106900
"SFT.MI"	"rrg"	106861
"U24.MI"	"rtt_5020"	106787
"IG.MI"	"rrg"	106752
"SEIF.MI"	"rtt_5020"	106710
"GRAL.MI"	"rrg"	106687
"IEG.MI"	"rtt_5020"	106645
"BST.MI"	"rbo_100"	106513
"ASC.MI"	"rrg"	106426
"BGN.MI"	"rema_50100150"	106408
"SPM.MI"	"rema_50100150"	106296
"PINF.MI"	"rbo_100"	106232
"ELC.MI"	"rrg"	106177
"VNT.MI"	"rtt_5020"	105955
"MFT.MI"	"rsma_50100150"	105727
"SCM.MI"	"rrg"	105548
"ENV.MI"	"rema_50100150"	105363
"ELES.MI"	"rtt_5020"	105350
"ACE.MI"	"rrg"	105334
"AZM.MI"	"rrg"	105330
"DAN.MI"	"rema_50100150"	105325
"MTV.MI"	"rtt_5020"	105216
"CLE.MI"	"rrg"	105142
"PRO.MI"	"rtt_5020"	105105
"PLN.MI"	"rrg"	105044
"TB.MI"	"rrg"	104757
"FNX.MI"	"rrg"	104748
"CDG.MI"	"rrg"	104680
"ABTG.MI"	"rrg"	104584
"TIT.MI"	"rbo_100"	104480
"PTR.MI"	"rrg"	104457
"TD.MI"	"rrg"	104452
"BRE.MI"	"rrg"	104444
"BMPS.MI"	"rtt_5020"	104350
"LFG.MI"	"rtt_5020"	104324
"SG.MI"	"rema_50100150"	104288
"VLS.MI"	"rsma_50100150"	104270
"EPH.MI"	"rtt_5020"	104160
"TOD.MI"	"rbo_100"	104128
"NSP.MI"	"rsma_50100150"	104047
"MAPS.MI"	"rsma_50100150"	104000
"TLS.MI"	"rrg"	103963
"MFEB.MI"	"rrg"	103861
"SOS.MI"	"rrg"	103768
"BES.MI"	"rrg"	103662
"CSP.MI"	"rrg"	103400
"NTW.MI"	"rrg"	103292
"CAI.MI"	"rsma_50100150"	103250
"SHE.MI"	"rema_50100150"	103250
"ICF.MI"	"rtt_5020"	103137
"CFV.MI"	"rrg"	103061
"BIE.MI"	"rrg"	102954
"CBB.MI"	"rbo_100"	102929
"ENI.MI"	"rrg"	102897
"VIA.MI"	"rsma_50100150"	102889
"FOS.MI"	"rrg"	102736
"TYA.MI"	"rsma_50100150"	102681
"FARM.MI"	"rrg"	102643
"MTS.MI"	"rrg"	102392
"AV.MI"	"rtt_5020"	102354
"NDT.MI"	"rtt_5020"	102288
"FCM.MI"	"rtt_5020"	102251
"MARR.MI"	"rrg"	102180
"ARBS.MI"	"rtt_5020"	102135
"GVS.MI"	"rrg"	102090
"HER.MI"	"rema_50100150"	101984
"TNX.MI"	"rbo_100"	101905
"CELL.MI"	"rrg"	101833
"LON.MI"	"rrg"	101576
"CLI.MI"	"rrg"	101409
"CFM.MI"	"rbo_100"	100816
"MIT.MI"	"rrg"	100800
"PRM.MI"	"rbo_100"	100792
"ABC.MI"	"rbo_100"	1e+05
"AIM.MI"	"rema_50100150"	1e+05
"HI.MI"	"rbo_100"	1e+05
"TFIN.MI"	"rema_50100150"	1e+05
"MON.MI"	"rbo_100"	NA
