"ticker"	"name"	"rrg"	"data"	"close"	"factor"	"atr_low"	"atr_high"	"DC_low"	"DC_high"	"sd_low"	"sd_high"	"stop_loss"	"hi1"	"hi2"	"hi3"	"hi4"	"lo1"	"lo2"	"lo3"	"lo4"	"flr"	"clg"
"ENV.MI"	"ENERVIT"	-1	2026-03-31	4.16	1	4.02041913349594	4.29958086650406	4.32	4.04	4.09543041916482	4.22456958083518	4.34	4.26	4.34	4.34	3.55	4.14	3.76	3.52	3.05	3.02	4.98
"EPH.MI"	"E.P.H"	-1	2026-03-31	0.09	1	0.0826489488601061	0.0973510511398939	0.1	0.08	0.0846547751617515	0.0953452248382485	0.11	0.1	0.11	0.69	1.74e+08	0.08	0.1	0.08	5e+07	0.01	1.74e+08
"EQUI.MI"	"EQUITA GROUP"	-1	2026-03-31	5.68	1	5.48670694253059	5.87329305746941	5.76	5.25	5.53557236878166	5.82442763121834	5.84	5.49	5.84	6.44	4.1	5.29	5.15	5.15	3.36	3.36	4.07
"ESAU.MI"	"ESAUTOMOTION"	-1	2026-03-31	3.02	1	2.94640588587723	3.09359411412277	3.34	3	2.92386593610089	3.11613406389911	3.34	3.26	3.3	3.5	5.06	3.22	2.98	2.98	2.85	2.4	5.08
"ESIGM.MI"	"ESI"	-1	2026-03-31	1.13	1	1.07852165666481	1.18147834333519	1.33	1.1	1.0809821741328	1.1790178258672	1.46	1.33	1.5	1.84	2.1	1.23	1.18	1.1	1.2	1.15	2.1
"ETH.MI"	"EUROTECH"	-1	2026-03-31	0.92	1	0.875837521048696	0.964162478951304	0.99	0.88	0.895005495109419	0.944994504890581	1.09	0.97	1.11	1.11	3.83	0.88	0.94	0.83	0.63	0.63	6.09
"EUK.MI"	"EUKEDOS"	-1	2026-03-31	0.5	1	0.469996546362362	0.530003453637638	0.64	0.45	0.4231670858076	0.5768329141924	0.7	0.55	0.75	0.81	3.5	0.45	0.71	0.45	0.66	0.66	3.5
"EVA.MI"	"ASKOLL EVA"	-1	2025-06-11	0.13	1	0.129319681374247	0.130680318625753	0.13	0.13	0.13	0.13	0.13	0.11	0.16	0.18	3.13	0.1	0.09	0.08	0.9	0.66	4.54
"EVISO.MI"	"EVISO"	-1	2026-03-31	8.04	1	7.74692325388269	8.33307674611731	8.37	7.66	7.88007384946053	8.19992615053947	8.37	8.34	8.36	8.37	12	7.71	7.02	6.57	2	2	12
"FARM.MI"	"H-FARM"	-1	2026-03-31	0.16	1	0.151525357297924	0.168474642702076	0.17	0.15	0.154864474089869	0.165135525910131	0.17	0.17	0.29	0.31	0.24	0.16	0.15	0.11	0.18	0.18	0.31
"FCM.MI"	"FRIULCHEM"	-1	2025-01-17	0.79	1	0.770219748851143	0.809780251148857	0.89	0.76	0.745723148706807	0.834276851293193	0.89	0.83	0.89	1.12	1.48	0.76	0.7	0.7	0.94	1.1	1.41
"FDA.MI"	"FIDIA"	-1	2026-03-31	0.02	1	0.015092811220211	0.024907188779789	0.03	0.02	0.014864474089869	0.025135525910131	0.07	0.03	0.17	85.8	134	0.02	0.11	0.02	135	141	355
"FF.MI"	"FINE FOODS & PHARMACEUTICALS NTM"	-1	2026-03-31	8.4	1	7.97168769078343	8.82831230921657	8.74	7.94	7.77137294202208	9.02862705797792	11.9	8.4	11.9	11.9	9.48	8.1	7.94	7.66	6.46	6.46	9.62
"FIC.MI"	"FIRST CAPITAL"	-1	2026-03-31	19	1	18.7045207716172	19.2954792283828	19	18.2	18.7898195437824	19.2101804562176	19	18.6	19	23	27.15	18.2	18	18	15.2	14.51	21.15
"FILA.MI"	"FILA"	-1	2026-03-31	9.2	1	8.90871810290473	9.49128189709527	9.5	7.72	8.75607581579882	9.64392418420118	9.5	9.48	9.48	10.28	11.74	8	8.88	7.72	8.12	8.12	11.74
"FNM.MI"	"FNM"	-1	2026-03-31	0.47	1	0.458321924788369	0.481678075211631	0.48	0.45	0.464452998037748	0.475547001962252	0.5	0.48	0.53	0.54	4.32	0.46	0.45	0.37	3.36	0.37	0.59
"FNX.MI"	"FENIX ENTERTAINMENT"	-1	2024-10-02	0	1	-7.11343805830721e-10	7.11343805830721e-10	0	0	0	0	0	0.01	0.4	3.04	4.32	0.01	0.25	0	3.36	5.25	7.05
"FPE.MI"	"FOPE"	-1	2026-03-31	37.6	1	37.0397180945265	38.1602819054735	40.2	37	36.7972574482466	38.4027425517534	41.4	38	41.4	44.6	38.6	37	36.6	36.6	22.8	21.4	31
"FRE.MI"	"FRENDY ENERGY"	-1	2026-03-31	0.22	1	0.218173490450094	0.221826509549906	0.22	0.22	0.216368634803987	0.223631365196013	0.23	0.23	0.25	0.27	38.6	0.21	0.22	0.2	22.8	0.17	0.3
"FTC.MI"	"FINANZA.TECH"	-1	2026-03-30	0.26	1	0.253097631677389	0.266902368322611	0.27	0.25	0.254654775161752	0.265345224838249	0.27	0.27	0.35	0.41	1.1	0.25	0.25	0.25	22.8	0.17	2.17
"FUM.MI"	"FRANCHI UMBERTO MARMI"	-1	2026-03-31	3.24	1	3.16965325628303	3.31034674371697	3.35	3.13	3.17000392475681	3.30999607524319	3.59	3.26	3.54	4.11	11.7	3.23	3.13	3.13	8	8.36	9.9
"FVI.MI"	"FERVI"	-1	2025-11-28	16.2	1	16.096404536697	16.303595463303	17.6	16.2	16.1636863480399	16.2363136519601	17.6	16.3	17.6	15.9	18	16.2	14.8	13.8	12.6	14.2	18.5
"G.MI"	"GENERALI ASS"	-1	2026-03-31	34.51	1	33.7462961767057	35.2737038232943	35.04	32.41	34.000405785221	35.019594214779	35.04	34	35.04	36.48	21.55	33.42	32.41	32.06	13.68	13.67	21.55
"GAB.MI"	"GABETTI"	-1	2026-03-31	0.55	1	0.530077650173771	0.569922349826229	0.6	0.5	0.525281808096282	0.574718191903718	0.63	0.57	0.66	0.77	1.35	0.53	0.5	0.5	0.41	0.41	2.48
"GAMB.MI"	"GAMBERO ROSSO"	-1	2026-03-30	0.25	1	0.247000560938929	0.252999439061071	0.26	0.24	0.244864474089869	0.255135525910131	0.26	0.25	0.27	0.28	1.35	0.24	0.23	0.22	0.41	0.21	0.35
"GBUS.MI"	"GIBUS"	-1	2025-04-09	9.95	1	9.90513224942451	9.99486775057549	10	9.95	9.89484786276346	10.0051521372365	10.15	9.98	10.15	10.15	17.9	9.96	9.94	7.2	2.9	10.6	17.7
"GCOM.MI"	"GIGLIO.COM"	-1	2026-03-30	0.53	1	0.505360330244075	0.554639669755925	0.56	0.5	0.51054308789732	0.54945691210268	0.69	0.54	1.06	1.18	17.9	0.5	0.49	0.49	0.8	0.8	1.31
"GEO.MI"	"GEOX"	-1	2026-03-31	0.26	1	0.251490919612987	0.268509080387013	0.27	0.24	0.254864474089869	0.265135525910131	0.29	0.26	0.35	0.79	1.2	0.25	0.29	0.24	0.64	0.64	1.2
