"date"	"ticker"	"name"	"volume"
"2025-01-22 16:35:02"	"ASC.MI"	"ASCOPIAVE"	146891
"2025-01-22 16:35:02"	"RCS.MI"	"RCS MEDIAGROUP"	146515
"2025-01-22 16:35:43"	"GAB.MI"	"GABETTI"	145540
"2025-01-22 16:35:08"	"DIA.MI"	"DIASORIN"	141274
"2025-01-22 16:35:04"	"MFEB.MI"	NA	139292
"2025-01-22 16:35:13"	"SL.MI"	"SANLORENZO"	138691
"2025-01-22 16:35:21"	"ELN.MI"	"EL.EN"	135186
"2025-01-22 16:35:29"	"IGD.MI"	NA	133275
"2025-01-22 16:35:22"	"ZV.MI"	"ZIGNAGO VETRO"	133181
"2025-01-22 16:35:05"	"MN.MI"	"MONDADORI EDIT"	131914
"2025-01-22 16:35:29"	"SERI.MI"	"SERI INDUSTRIAL"	131789
"2025-01-22 16:02:11"	"EXAI.MI"	"EXPERT.AI"	127595
"2025-01-22 16:35:11"	"CE.MI"	"CREDEM"	125981
"2025-01-22 16:35:22"	"KME.MI"	"KME GROUP"	124629
"2025-01-22 16:38:33"	"IF.MI"	"BANCA IFIS"	119499
"2025-01-22 16:35:24"	"ELES.MI"	"ELES"	113000
"2025-01-22 16:35:22"	"AEF.MI"	"AEFFE"	106949
"2025-01-22 16:35:25"	"GSP.MI"	"GAS PLUS"	105862
"2025-01-22 16:35:26"	"TIP.MI"	"TAMBURI"	103185
"2025-01-22 16:35:22"	"MARR.MI"	"MARR"	94314
"2025-01-22 16:35:03"	"TNXT.MI"	"TINEXTA"	94106
"2025-01-22 16:35:04"	"DLG.MI"	"DE'LONGHI"	92449
"2025-01-22 16:35:28"	"AVIO.MI"	"AVIO"	92211
"2025-01-22 16:27:18"	"ZEST.MI"	"ZEST"	90793
"2025-01-22 16:35:25"	"ACE.MI"	"ACEA"	83924
"2025-01-22 16:35:23"	"TFIN.MI"	"TREVI FIN IND"	82934
"2025-01-22 14:35:25"	"PINF.MI"	"PININFARINA SPA"	79808
"2025-01-22 16:35:02"	"SGF.MI"	"SOGEFI"	78106
"2025-01-22 16:35:05"	"SAB.MI"	"SABAF"	71519
"2025-01-22 16:36:06"	"IGV.MI"	"I GRANDI VIAGGI"	69584
"2025-01-22 16:35:13"	"BSS.MI"	"BIESSE"	69313
"2025-01-22 16:26:15"	"ETH.MI"	"EUROTECH"	67378
"2025-01-22 16:35:13"	"EM.MI"	"EMAK"	66674
"2025-01-22 16:27:45"	"U24.MI"	"UCAPITAL24"	64800
"2025-01-22 16:37:21"	"DGV.MI"	"DIGITAL VALUE"	63522
"2025-01-22 16:35:24"	"FM.MI"	"FIERA MILANO"	63388
"2025-01-22 15:29:30"	"SIT.MI"	"SIT"	62338
"2025-01-22 16:35:15"	"CEM.MI"	"CEMENTIR HOLDING"	60393
