volume	high	low	open	close	adj_close	ticker	ropen	rhigh	rlow	rclose	rhi_100	rlo_100	rbo_100	rtt_50	rtt_20	rtt_5020	rema_50100	rema_100150	rema_50100150	rsma_50100	rsma_100150	rsma_50100150	hi1	lo1	hi2	lo2	hi3	lo3	rg	flr	clg	rg_ch	rh1	rl1	rh2	rl2	rh3	rl3	rrt	rrg	rflr	rclg	rrg_ch	rbo_100_chg1D	rbo_100_chg1D_fx	rbo_100_PL_cum	rbo_100_returns	rbo_100_log_returns	rbo_100_cumul	stop_loss	rbo_100_PL_cum_fx
538832	0.34	0.32	0.32	0.32	0.29	CIR.MI	0.4	0.43	0.4	0.41			0.0			0																												0.0	0.0	0.0	0.0	0.0	0.0		0.0
307119	0.34	0.33	0.34	0.33	0.29	CIR.MI	0.41	0.41	0.4	0.4			0.0			0							0.34																					0.0	0.0	0.0	0.0	0.0	0.0		0.0
123285	0.34	0.32	0.33	0.33	0.29	CIR.MI	0.4	0.41	0.4	0.4			0.0			0																												0.0	0.0	0.0	0.0	0.0	0.0		0.0
920116	0.33	0.32	0.33	0.32	0.29	CIR.MI	0.39	0.39	0.38	0.39			0.0		-1.0	0								0.32										0.38										-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
189584	0.34	0.33	0.34	0.33	0.3	CIR.MI	0.41	0.42	0.4	0.4			0.0		-1.0	0																	0.42											0.0	0.0	0.0	0.0	0.0	0.0		0.0
227448	0.34	0.33	0.33	0.33	0.29	CIR.MI	0.41	0.41	0.4	0.4			0.0		-1.0	0																												0.0	0.0	0.0	0.0	0.0	0.0		0.0
783105	0.34	0.32	0.33	0.33	0.29	CIR.MI	0.39	0.4	0.38	0.39			0.0		-1.0	0																		0.38										0.0	0.0	0.0	0.0	0.0	0.0		0.0
6327	0.34	0.34	0.34	0.34	0.3	CIR.MI	0.41	0.41	0.41	0.41			0.0		-1.0	0							0.34										0.41											0.0	0.0	0.0	0.0	0.0	0.0		0.0
133602	0.34	0.32	0.34	0.33	0.29	CIR.MI	0.42	0.42	0.4	0.41			0.0		-1.0	0																												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
857362	0.34	0.32	0.33	0.32	0.29	CIR.MI	0.4	0.41	0.39	0.39			0.0		-1.0	0																												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
53072	0.33	0.33	0.33	0.33	0.29	CIR.MI	0.39	0.39	0.39	0.39			0.0		-1.0	0								0.33																				0.0	0.0	0.0	0.0	0.0	0.0		0.0
538377	0.33	0.32	0.33	0.33	0.29	CIR.MI	0.38	0.39	0.38	0.38			0.0		-1.0	0																		0.38										0.0	0.0	0.0	0.0	0.0	0.0		0.0
236808	0.33	0.33	0.33	0.33	0.29	CIR.MI	0.38	0.39	0.37	0.38			0.0		-1.0	0																									0.37			0.0	0.0	0.0	0.0	0.0	0.0		0.0
929955	0.35	0.33	0.33	0.34	0.3	CIR.MI	0.38	0.4	0.38	0.38			0.0		-1.0	0																	0.4											0.0	0.0	0.0	0.0	0.0	0.0		0.0
663295	0.34	0.34	0.34	0.34	0.3	CIR.MI	0.39	0.39	0.38	0.39			0.0		-1.0	0																												0.0	0.0	0.0	0.0	0.0	0.0		0.0
