volume	high	low	open	close	adj_close	ticker	ropen	rhigh	rlow	rclose	rhi_100	rlo_100	rbo_100	rtt_50	rtt_20	rtt_5020	rema_50100	rema_100150	rema_50100150	rsma_50100	rsma_100150	rsma_50100150	hi1	lo1	hi2	lo2	hi3	lo3	rt	rg	flr	clg	rg_ch	rh1	rl1	rh2	rl2	rh3	rl3	rh4	rl4	rrt	rrg	rflr	rclg	rrg_ch	rbo_100_chg1D	rbo_100_chg1D_fx	rbo_100_PL_cum	rbo_100_returns	rbo_100_log_returns	rbo_100_cumul	stop_loss	rbo_100_PL_cum_fx
1508010	0.48	0.43	0.46	0.44	0.29	RCS.MI	0.61	0.63	0.57	0.57			0.0		-1.0	0																															-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
3669546	0.46	0.41	0.43	0.44	0.29	RCS.MI	0.54	0.58	0.51	0.55			0.0		-1.0	0								0.41		0.41									0.51		0.51										0.0	0.0	0.0	0.0	0.0	0.0		0.0
1619923	0.49	0.45	0.45	0.48	0.32	RCS.MI	0.55	0.59	0.55	0.58			0.0		-1.0	0																															0.0	0.0	0.0	0.0	0.0	0.0		0.0
1885938	0.52	0.48	0.48	0.51	0.35	RCS.MI	0.58	0.64	0.58	0.63			0.0		-1.0	0																															0.0	0.0	0.0	0.0	0.0	0.0		0.0
2841932	0.56	0.5	0.51	0.55	0.37	RCS.MI	0.61	0.67	0.6	0.66			0.0		-1.0	0							0.56																								0.0	0.0	0.0	0.0	0.0	0.0		0.0
1739590	0.57	0.52	0.55	0.52	0.35	RCS.MI	0.67	0.69	0.63	0.63			0.0		-1.0	0																															-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
4491873	0.56	0.48	0.52	0.55	0.37	RCS.MI	0.63	0.68	0.59	0.67			0.0		-1.0	0								0.48																							0.0	0.0	0.0	0.0	0.0	0.0		0.0
2364633	0.57	0.55	0.55	0.56	0.38	RCS.MI	0.65	0.68	0.65	0.67			0.0		-1.0	0							0.57											0.68													0.0	0.0	0.0	0.0	0.0	0.0		0.0
2571149	0.57	0.53	0.56	0.55	0.37	RCS.MI	0.68	0.69	0.64	0.66			0.0		-1.0	0																															-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
1664409	0.55	0.5	0.54	0.52	0.35	RCS.MI	0.67	0.69	0.62	0.64			0.0		-1.0	0																															-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
1411516	0.54	0.5	0.52	0.5	0.33	RCS.MI	0.63	0.65	0.6	0.6			0.0		-1.0	0								0.5																							-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
1716344	0.53	0.5	0.5	0.52	0.35	RCS.MI	0.59	0.63	0.59	0.62			0.0		-1.0	0																			0.59												0.0	0.0	0.0	0.0	0.0	0.0		0.0
680894	0.54	0.51	0.52	0.53	0.36	RCS.MI	0.61	0.63	0.6	0.62			0.0		-1.0	0																															0.0	0.0	0.0	0.0	0.0	0.0		0.0
3646048	0.57	0.53	0.54	0.57	0.38	RCS.MI	0.62	0.65	0.61	0.65			0.0		-1.0	0																															0.0	0.0	0.0	0.0	0.0	0.0		0.0
8479760	0.61	0.57	0.57	0.61	0.41	RCS.MI	0.65	0.69	0.65	0.69			0.0		-1.0	0							0.61		0.61									0.69		0.69											0.0	0.0	0.0	0.0	0.0	0.0		0.0
10790857	0.61	0.56	0.6	0.56	0.38	RCS.MI	0.68	0.69	0.63	0.64			0.0		-1.0	0																															-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
7459305	0.59	0.54	0.55	0.58	0.39	RCS.MI	0.62	0.67	0.61	0.66			0.0		-1.0	0																															0.0	0.0	0.0	0.0	0.0	0.0		0.0
2293139	0.58	0.54	0.58	0.55	0.37	RCS.MI	0.67	0.67	0.62	0.63			0.0		-1.0	0																															-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
4642953	0.55	0.5	0.55	0.51	0.35	RCS.MI	0.63	0.63	0.58	0.59			0.0		-1.0	0																															-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
3377230	0.53	0.5	0.51	0.5	0.34	RCS.MI	0.59	0.61	0.57	0.57			0.0		-1.0	0																															-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
5402631	0.51	0.48	0.5	0.48	0.33	RCS.MI	0.57	0.58	0.55	0.55			0.0		-1.0	0								0.48																							-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
4179153	0.5	0.48	0.48	0.49	0.33	RCS.MI	0.53	0.54	0.52	0.53			0.0		-1.0	0																			0.52												0.0	0.0	0.0	0.0	0.0	0.0		0.0
4330461	0.54	0.49	0.49	0.52	0.35	RCS.MI	0.54	0.58	0.54	0.57			0.0		-1.0	0							0.54																								0.0	0.0	0.0	0.0	0.0	0.0		0.0
1442286	0.52	0.5	0.52	0.51	0.34	RCS.MI	0.58	0.58	0.56	0.56			0.0		-1.0	0																		0.58													-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
1380137	0.51	0.5	0.51	0.5	0.34	RCS.MI	0.57	0.57	0.55	0.56			0.0		-1.0	0																															-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
1034159	0.52	0.49	0.52	0.49	0.33	RCS.MI	0.58	0.58	0.54	0.54			0.0		-1.0	0								0.49											0.54												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
1800379	0.52	0.49	0.49	0.52	0.35	RCS.MI	0.55	0.58	0.55	0.58			0.0		-1.0	0																		0.58													0.0	0.0	0.0	0.0	0.0	0.0		0.0
973506	0.52	0.5	0.52	0.5	0.34	RCS.MI	0.57	0.58	0.56	0.56			0.0		-1.0	0							0.52																								-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
1108097	0.52	0.5	0.51	0.5	0.34	RCS.MI	0.56	0.57	0.55	0.56			0.0		-1.0	0																			0.55												0.0	0.0	0.0	0.0	0.0	0.0		0.0
1183031	0.51	0.49	0.5	0.49	0.33	RCS.MI	0.56	0.57	0.55	0.55			0.0		-1.0	0								0.49																							-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
2852174	0.52	0.49	0.5	0.51	0.34	RCS.MI	0.57	0.59	0.56	0.58			0.0		-1.0	0							0.52											0.59													0.0	0.0	0.0	0.0	0.0	0.0		0.0
1846739	0.52	0.49	0.51	0.49	0.33	RCS.MI	0.58	0.59	0.55	0.56			0.0		-1.0	0																															-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
1352864	0.5	0.48	0.5	0.48	0.33	RCS.MI	0.56	0.57	0.54	0.55			0.0		-1.0	0																															-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
1652522	0.48	0.46	0.48	0.47	0.32	RCS.MI	0.55	0.55	0.52	0.54			0.0		-1.0	0																															-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
1234741	0.47	0.45	0.47	0.45	0.3	RCS.MI	0.54	0.55	0.53	0.53			0.0		-1.0	0																															-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
1848982	0.47	0.42	0.45	0.42	0.29	RCS.MI	0.53	0.55	0.49	0.5			0.0	-1.0	-1.0	0																															-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
1742432	0.42	0.39	0.42	0.41	0.28	RCS.MI	0.51	0.51	0.47	0.5			0.0	-1.0	-1.0	-1								0.39		0.39		0.39			0.39				0.47		0.47		0.47					0.47			-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
1227853	0.43	0.41	0.41	0.42	0.28	RCS.MI	0.49	0.52	0.49	0.51			0.0	-1.0	-1.0	-1							0.43																								0.0	0.0	0.0	0.0	0.0	0.0		0.0
1020713	0.43	0.4	0.43	0.41	0.28	RCS.MI	0.53	0.53	0.5	0.5			0.0	-1.0	-1.0	-1								0.4																							-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
2063027	0.46	0.41	0.41	0.46	0.31	RCS.MI	0.49	0.54	0.49	0.54			0.0	-1.0	-1.0	-1																															0.0	0.0	0.0	0.0	0.0	0.0		0.0
22162574	0.61	0.55	0.57	0.59	0.4	RCS.MI	0.67	0.71	0.64	0.69			0.0	-1.0	1.0	0																															0.0	0.0	0.0	0.0	0.0	0.0		0.0
8073771	0.62	0.57	0.6	0.58	0.39	RCS.MI	0.71	0.74	0.68	0.69			0.0	1.0	1.0	1							0.62											0.74		0.74											-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
5826266	0.59	0.56	0.58	0.57	0.38	RCS.MI	0.66	0.67	0.64	0.65			0.0	1.0	1.0	1								0.56											0.64												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
