date	volume	high	low	open	close	adj_close	ticker	ropen	rhigh	rlow	rclose	rhi_100	rlo_100	rbo_100	rtt_50	rtt_20	rtt_5020	rema_50100	rema_100150	rema_50100150	rsma_50100	rsma_100150	rsma_50100150	hi1	lo1	hi2	lo2	hi3	lo3	rg	flr	clg	rg_ch	rh1	rl1	rh2	rl2	rh3	rl3	rrt	rrg	rflr	rclg	rrg_ch
2016-01-04 08:00:00	34200	0.58	0.56	0.57	0.56	0.56	FRE.MI	0.57	0.58	0.56	0.56						0															0.58												
2016-01-05 08:00:00	19800	0.58	0.56	0.58	0.57	0.56	FRE.MI	0.57	0.57	0.55	0.56						0																		0.55									
2016-01-06 08:00:00	2700	0.57	0.57	0.57	0.57	0.56	FRE.MI	0.58	0.58	0.58	0.58						0																	0.58										
2016-01-07 08:00:00	17100	0.57	0.55	0.57	0.56	0.55	FRE.MI	0.58	0.58	0.56	0.57						0																		0.56									
2016-01-08 08:00:00	12600	0.57	0.55	0.57	0.56	0.55	FRE.MI	0.59	0.59	0.57	0.58						0																	0.59										
2016-01-11 08:00:00	16200	0.57	0.55	0.57	0.55	0.54	FRE.MI	0.59	0.59	0.57	0.58						0																											
2016-01-12 08:00:00	49500	0.55	0.54	0.55	0.54	0.53	FRE.MI	0.57	0.57	0.56	0.56						0								0.54										0.56									
2016-01-13 08:00:00	26100	0.55	0.54	0.55	0.55	0.54	FRE.MI	0.57	0.57	0.56	0.57						0							0.55										0.57										
2016-01-14 08:00:00	46800	0.55	0.52	0.54	0.52	0.51	FRE.MI	0.57	0.57	0.54	0.54						0								0.52										0.54									
2016-01-15 08:00:00	131400	0.58	0.52	0.57	0.54	0.53	FRE.MI	0.62	0.62	0.56	0.58						0							0.58		0.58								0.62		0.62								
2016-01-18 08:00:00	46800	0.55	0.51	0.55	0.52	0.51	FRE.MI	0.61	0.61	0.57	0.58						0																											
2016-01-19 08:00:00	60300	0.52	0.49	0.52	0.5	0.49	FRE.MI	0.58	0.58	0.54	0.55						0																											
2016-01-20 08:00:00	27000	0.5	0.47	0.5	0.47	0.46	FRE.MI	0.58	0.58	0.54	0.54						0																											
2016-01-21 08:00:00	15300	0.48	0.46	0.48	0.47	0.46	FRE.MI	0.54	0.54	0.51	0.52						0								0.46										0.51		0.51							
2016-01-22 08:00:00	90000	0.5	0.47	0.47	0.49	0.48	FRE.MI	0.51	0.54	0.51	0.53						0																											
2016-01-25 08:00:00	3600	0.5	0.48	0.5	0.5	0.49	FRE.MI	0.55	0.55	0.54	0.55						0							0.5										0.55										
2016-01-26 08:00:00	36900	0.5	0.47	0.5	0.48	0.47	FRE.MI	0.55	0.55	0.52	0.53						0																											
2016-01-27 08:00:00	14400	0.48	0.47	0.48	0.47	0.47	FRE.MI	0.53	0.53	0.52	0.52						0																		0.52									
2016-01-28 08:00:00	29700	0.49	0.47	0.49	0.47	0.47	FRE.MI	0.56	0.56	0.54	0.54						0																	0.56										
2016-01-29 08:00:00	21600	0.49	0.46	0.49	0.46	0.46	FRE.MI	0.54	0.54	0.52	0.52						0																											
2016-02-01 08:00:00	180000	0.48	0.45	0.48	0.46	0.45	FRE.MI	0.54	0.54	0.5	0.52					-1.0	0																		0.5	0.54								
2016-02-02 08:00:00	134100	0.47	0.45	0.46	0.46	0.45	FRE.MI	0.53	0.54	0.52	0.53					-1.0	0																											
2016-02-03 08:00:00	65700	0.46	0.44	0.46	0.44	0.43	FRE.MI	0.55	0.55	0.52	0.52					-1.0	0																											
2016-02-04 08:00:00	34200	0.46	0.44	0.45	0.46	0.45	FRE.MI	0.53	0.54	0.51	0.54					-1.0	0																											
2016-02-05 08:00:00	19800	0.46	0.44	0.46	0.45	0.44	FRE.MI	0.55	0.56	0.53	0.54					-1.0	0																	0.56										
2016-02-08 08:00:00	54000	0.46	0.42	0.46	0.43	0.42	FRE.MI	0.57	0.57	0.52	0.54					-1.0	0																											
2016-02-09 08:00:00	37800	0.44	0.39	0.44	0.39	0.38	FRE.MI	0.57	0.57	0.5	0.5					-1.0	0																											
2016-02-10 08:00:00	102600	0.41	0.39	0.4	0.4	0.39	FRE.MI	0.5	0.51	0.48	0.49					-1.0	0																		0.48									
2016-02-11 08:00:00	85500	0.41	0.38	0.41	0.38	0.38	FRE.MI	0.54	0.54	0.5	0.5					-1.0	0								0.38		0.38							0.54										
2016-02-12 08:00:00	108900	0.4	0.37	0.4	0.39	0.38	FRE.MI	0.5	0.5	0.46	0.49					-1.0	0																		0.46		0.46							
2016-02-15 08:00:00	59400	0.41	0.39	0.39	0.4	0.4	FRE.MI	0.47	0.5	0.47	0.49					-1.0	0																											
2016-02-16 08:00:00	32400	0.42	0.4	0.42	0.41	0.4	FRE.MI	0.51	0.51	0.49	0.5					-1.0	0																	0.51										
2016-02-17 08:00:00	22500	0.41	0.4	0.41	0.41	0.4	FRE.MI	0.49	0.49	0.47	0.49					-1.0	0																		0.47									
2016-02-18 08:00:00	59400	0.46	0.43	0.44	0.45	0.45	FRE.MI	0.53	0.55	0.52	0.55					-1.0	0							0.46										0.55										
2016-02-19 08:00:00	17100	0.45	0.44	0.44	0.44	0.43	FRE.MI	0.54	0.55	0.53	0.53					-1.0	0								0.44																			
2016-02-22 08:00:00	2700	0.45	0.45	0.45	0.45	0.44	FRE.MI	0.53	0.53	0.53	0.53					-1.0	0																		0.53									
2016-02-23 08:00:00	43200	0.49	0.46	0.49	0.46	0.45	FRE.MI	0.59	0.59	0.55	0.56					1.0	0							0.49		0.49																		
2016-02-24 08:00:00	56700	0.48	0.46	0.48	0.46	0.45	FRE.MI	0.59	0.59	0.57	0.57					1.0	0								0.46									0.59		0.59		0.59						
2016-02-25 08:00:00	19800	0.48	0.46	0.48	0.46	0.45	FRE.MI	0.58	0.58	0.56	0.56					1.0	0							0.48																				
2016-02-26 08:00:00	15300	0.48	0.46	0.48	0.46	0.45	FRE.MI	0.57	0.57	0.54	0.55					1.0	0								0.46		0.46								0.54									
2016-02-29 08:00:00	13500	0.49	0.47	0.48	0.48	0.47	FRE.MI	0.56	0.58	0.56	0.56					1.0	0																	0.58										
2016-03-01 08:00:00	26100	0.5	0.47	0.5	0.47	0.47	FRE.MI	0.57	0.58	0.55	0.55					1.0	0																											
2016-03-02 08:00:00	1800	0.49	0.49	0.49	0.49	0.48	FRE.MI	0.56	0.56	0.56	0.56					1.0	0																											
2016-03-03 08:00:00	27000	0.5	0.48	0.5	0.49	0.48	FRE.MI	0.56	0.56	0.54	0.55					1.0	0																		0.54									
2016-03-04 08:00:00	19800	0.5	0.49	0.5	0.49	0.48	FRE.MI	0.56	0.56	0.55	0.56					1.0	0							0.5		0.5		0.5																
2016-03-07 08:00:00	23400	0.49	0.48	0.49	0.49	0.48	FRE.MI	0.57	0.57	0.55	0.56					1.0	0																	0.57										
2016-03-08 08:00:00	4500	0.49	0.49	0.49	0.49	0.48	FRE.MI	0.56	0.56	0.56	0.56					1.0	0																											
2016-03-09 08:00:00	7200	0.49	0.47	0.49	0.49	0.48	FRE.MI	0.55	0.55	0.54	0.55					1.0	0								0.47										0.54									
2016-03-10 08:00:00	6300	0.49	0.48	0.49	0.49	0.48	FRE.MI	0.56	0.56	0.55	0.56					1.0	0							0.49										0.56										
2016-03-11 08:00:00	12600	0.49	0.47	0.49	0.48	0.47	FRE.MI	0.53	0.53	0.51	0.52					1.0	0																											
2016-03-14 08:00:00	252000	0.48	0.45	0.48	0.45	0.44	FRE.MI	0.53	0.53	0.49	0.49					1.0	0																		0.49									
