volume	high	low	open	close	adj_close	ticker	ropen	rhigh	rlow	rclose	rhi_100	rlo_100	rbo_100	rtt_50	rtt_20	rtt_5020	rema_50100	rema_100150	rema_50100150	rsma_50100	rsma_100150	rsma_50100150	hi1	lo1	hi2	lo2	hi3	lo3	hi4	lo4	rt	rg	flr	clg	rg_ch	rh1	rl1	rh2	rl2	rh3	rl3	rrt	rrg	rflr	rclg	rrg_ch	rbo_100_chg1D	rbo_100_chg1D_fx	rbo_100_PL_cum	rbo_100_returns	rbo_100_log_returns	rbo_100_cumul	stop_loss	rbo_100_PL_cum_fx
173712179	0.89	0.83	0.89	0.83	0.79	TIT.MI	1.17	1.18	1.09	1.09			0.0		-1.0	0								0.83												1.18		1.18									-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
101879440	0.86	0.83	0.85	0.86	0.82	TIT.MI	1.07	1.09	1.04	1.08			0.0		-1.0	0																					1.04										0.0	0.0	0.0	0.0	0.0	0.0		0.0
94626520	0.91	0.87	0.87	0.88	0.83	TIT.MI	1.06	1.11	1.06	1.07			0.0		-1.0	0							0.91													1.11											0.0	0.0	0.0	0.0	0.0	0.0		0.0
286962433	0.88	0.8	0.86	0.82	0.78	TIT.MI	1.05	1.08	0.97	1.0			0.0		-1.0	0								0.8		0.8																					-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
235443528	0.87	0.81	0.82	0.85	0.81	TIT.MI	0.97	1.04	0.97	1.02			0.0		-1.0	0																					0.97		0.97								0.0	0.0	0.0	0.0	0.0	0.0		0.0
165770345	0.9	0.87	0.88	0.89	0.84	TIT.MI	1.06	1.09	1.05	1.07			0.0		-1.0	0							0.9													1.09											0.0	0.0	0.0	0.0	0.0	0.0		0.0
122332788	0.9	0.85	0.89	0.86	0.81	TIT.MI	1.09	1.1	1.04	1.05			0.0		-1.0	0								0.85													1.04										-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
109445289	0.91	0.87	0.88	0.9	0.86	TIT.MI	1.04	1.08	1.03	1.07			0.0		-1.0	0							0.91																								0.0	0.0	0.0	0.0	0.0	0.0		0.0
86988950	0.91	0.88	0.89	0.89	0.85	TIT.MI	1.08	1.1	1.07	1.07			0.0		-1.0	0																															-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
110934936	0.9	0.86	0.89	0.87	0.83	TIT.MI	1.11	1.11	1.07	1.08			0.0		-1.0	0								0.86																							-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
91766293	0.91	0.88	0.88	0.9	0.86	TIT.MI	1.07	1.1	1.06	1.1			0.0		-1.0	0																				1.1											0.0	0.0	0.0	0.0	0.0	0.0		0.0
106002849	0.93	0.9	0.91	0.92	0.87	TIT.MI	1.08	1.1	1.07	1.09			0.0		-1.0	0							0.93																								0.0	0.0	0.0	0.0	0.0	0.0		0.0
109150019	0.92	0.88	0.92	0.9	0.86	TIT.MI	1.08	1.08	1.04	1.06			0.0		-1.0	0								0.88																							-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
95007782	0.93	0.88	0.89	0.93	0.88	TIT.MI	1.02	1.07	1.02	1.07			0.0		-1.0	0																					1.02										0.0	0.0	0.0	0.0	0.0	0.0		0.0
137562092	0.95	0.93	0.94	0.94	0.9	TIT.MI	1.07	1.08	1.06	1.08			0.0		-1.0	0																															0.0	0.0	0.0	0.0	0.0	0.0		0.0
