volume	high	low	open	close	adj_close	ticker	ropen	rhigh	rlow	rclose	rhi_100	rlo_100	rbo_100	rtt_50	rtt_20	rtt_5020	rema_50100	rema_100150	rema_50100150	rsma_50100	rsma_100150	rsma_50100150	hi1	lo1	hi2	lo2	hi3	lo3	hi4	lo4	rg	flr	clg	rg_ch	rh1	rl1	rh2	rl2	rh3	rl3	rh4	rl4	rrt	rrg	rflr	rclg	rrg_ch	rbo_100_chg1D	rbo_100_chg1D_fx	rbo_100_PL_cum	rbo_100_returns	rbo_100_log_returns	rbo_100_cumul	stop_loss	rbo_100_PL_cum_fx
51217	16.51	15.95	16.51	16.08	12.3	MARR.MI	21.7	21.7	20.97	21.14			0.0		1.0	0								15.95											21.7		21.7											-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
74120	16.39	16.02	16.05	16.16	12.36	MARR.MI	20.15	20.58	20.11	20.29			0.0		1.0	0																																0.0	0.0	0.0	0.0	0.0	0.0		0.0
29472	16.83	16.32	16.5	16.5	12.62	MARR.MI	20.07	20.48	19.86	20.07			0.0		1.0	0							16.83													19.86												0.0	0.0	0.0	0.0	0.0	0.0		0.0
54629	16.72	16.32	16.69	16.55	12.66	MARR.MI	20.41	20.44	19.95	20.24			0.0		1.0	0								16.32											20.44													0.0	0.0	0.0	0.0	0.0	0.0		0.0
55359	16.94	16.49	16.5	16.71	12.78	MARR.MI	19.69	20.21	19.67	19.94			0.0		1.0	0																				19.67		19.67										0.0	0.0	0.0	0.0	0.0	0.0		0.0
39206	17.0	16.72	16.72	16.93	12.95	MARR.MI	20.26	20.6	20.26	20.51			0.0		1.0	0																																0.0	0.0	0.0	0.0	0.0	0.0		0.0
51845	17.31	16.86	16.9	17.2	13.16	MARR.MI	20.72	21.22	20.67	21.09			0.0		1.0	0																			21.22													0.0	0.0	0.0	0.0	0.0	0.0		0.0
60325	17.78	17.15	17.15	17.63	13.49	MARR.MI	20.31	21.06	20.31	20.88			0.0		1.0	0																				20.31												0.0	0.0	0.0	0.0	0.0	0.0		0.0
74699	18.14	17.55	17.55	17.73	13.56	MARR.MI	21.2	21.91	21.2	21.42			0.0		1.0	0							18.14																									0.0	0.0	0.0	0.0	0.0	0.0		0.0
21222	17.88	17.49	17.58	17.49	13.38	MARR.MI	21.8	22.17	21.69	21.69			0.0		1.0	0																			22.17		22.17											-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
49158	17.8	17.43	17.65	17.45	13.35	MARR.MI	21.39	21.58	21.13	21.15			0.0		1.0	0								17.43																								-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
51742	18.01	17.34	17.44	17.95	13.73	MARR.MI	20.68	21.36	20.56	21.29			0.0		1.0	0																																0.0	0.0	0.0	0.0	0.0	0.0		0.0
34379	18.0	17.59	17.95	18.0	13.77	MARR.MI	21.12	21.18	20.7	21.18			0.0		1.0	0																																0.0	0.0	0.0	0.0	0.0	0.0		0.0
39105	18.46	17.81	18.05	18.26	13.97	MARR.MI	20.78	21.25	20.5	21.02			0.0		1.0	0							18.46		18.46																							0.0	0.0	0.0	0.0	0.0	0.0		0.0
77107	18.5	17.94	18.5	17.95	13.73	MARR.MI	21.07	21.07	20.43	20.44			0.0		1.0	0																																-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
13213	18.32	17.96	18.18	17.96	13.74	MARR.MI	20.54	20.7	20.29	20.29			0.0		1.0	0																				20.29												0.0	0.0	0.0	0.0	0.0	0.0		0.0
27839	18.18	17.75	18.08	18.14	13.88	MARR.MI	20.51	20.62	20.13	20.58			0.0		1.0	0																																0.0	0.0	0.0	0.0	0.0	0.0		0.0
16709	18.21	17.73	18.2	17.88	13.68	MARR.MI	20.9	20.91	20.36	20.53			0.0		1.0	0																			20.91													-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
24745	17.96	17.41	17.96	17.48	13.37	MARR.MI	20.67	20.67	20.03	20.11			0.0		1.0	0																																-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
12985	17.74	17.44	17.45	17.48	13.37	MARR.MI	19.87	20.2	19.86	19.9			0.0		1.0	0																																0.0	0.0	0.0	0.0	0.0	0.0		0.0
31980	17.76	16.76	17.46	16.76	12.82	MARR.MI	19.98	20.32	19.18	19.18			0.0		-1.0	0								16.76		16.76																						-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
46318	17.49	17.15	17.27	17.15	13.12	MARR.MI	18.86	19.1	18.73	18.73			0.0		-1.0	0																				18.73		18.73										0.0	0.0	0.0	0.0	0.0	0.0		0.0
51290	17.75	17.22	17.24	17.58	13.45	MARR.MI	18.83	19.39	18.81	19.2			0.0		-1.0	0																																0.0	0.0	0.0	0.0	0.0	0.0		0.0
28380	17.79	17.4	17.65	17.78	13.6	MARR.MI	19.5	19.66	19.23	19.65			0.0		-1.0	0																																0.0	0.0	0.0	0.0	0.0	0.0		0.0
29223	18.0	17.62	17.88	17.62	13.48	MARR.MI	19.79	19.92	19.5	19.5			0.0		-1.0	0																																-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
29446	18.07	17.65	17.77	18.0	13.77	MARR.MI	19.8	20.13	19.67	20.06			0.0		-1.0	0																																0.0	0.0	0.0	0.0	0.0	0.0		0.0
