volume	high	low	open	close	adj_close	ticker	ropen	rhigh	rlow	rclose	rhi_100	rlo_100	rbo_100	rtt_50	rtt_20	rtt_5020	rema_50100	rema_100150	rema_50100150	rsma_50100	rsma_100150	rsma_50100150	hi1	lo1	hi2	lo2	hi3	lo3	hi4	lo4	rg	flr	clg	rg_ch	rh1	rl1	rh2	rl2	rh3	rl3	rrg	rflr	rclg	rrg_ch	rbo_100_chg1D	rbo_100_chg1D_fx	rbo_100_PL_cum	rbo_100_returns	rbo_100_log_returns	rbo_100_cumul	stop_loss	rbo_100_PL_cum_fx
29161	0.48	0.45	0.48	0.46	0.46	ZEST.MI	0.58	0.58	0.54	0.55			0.0		-1.0	0																													-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
85912	0.46	0.41	0.46	0.41	0.41	ZEST.MI	0.57	0.58	0.52	0.52			0.0		-1.0	0																													-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
47918	0.41	0.38	0.41	0.4	0.4	ZEST.MI	0.53	0.53	0.49	0.52			0.0		-1.0	0								0.38																					-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
39822	0.41	0.38	0.39	0.4	0.4	ZEST.MI	0.49	0.51	0.47	0.49			0.0		-1.0	0							0.41													0.47						0.47			0.0	0.0	0.0	0.0	0.0	0.0		0.0
36967	0.39	0.37	0.39	0.39	0.39	ZEST.MI	0.52	0.52	0.48	0.51			0.0		-1.0	0								0.37		0.37						0.37			0.52			0.48							-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
46490	0.39	0.37	0.39	0.39	0.39	ZEST.MI	0.49	0.49	0.47	0.49			0.0		-1.0	0																				0.47									0.0	0.0	0.0	0.0	0.0	0.0		0.0
32268	0.42	0.39	0.39	0.42	0.42	ZEST.MI	0.48	0.51	0.48	0.51			0.0		-1.0	0																													0.0	0.0	0.0	0.0	0.0	0.0		0.0
19503	0.42	0.39	0.42	0.41	0.41	ZEST.MI	0.51	0.51	0.48	0.5			0.0		-1.0	0																													-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
29381	0.45	0.41	0.41	0.45	0.45	ZEST.MI	0.49	0.54	0.49	0.54			0.0		-1.0	0																													0.0	0.0	0.0	0.0	0.0	0.0		0.0
50773	0.51	0.46	0.48	0.5	0.5	ZEST.MI	0.59	0.61	0.56	0.61			0.0		-1.0	0																													0.0	0.0	0.0	0.0	0.0	0.0		0.0
65358	0.54	0.47	0.5	0.5	0.5	ZEST.MI	0.62	0.66	0.58	0.61			0.0		1.0	0																													0.0	0.0	0.0	0.0	0.0	0.0		0.0
67358	0.54	0.5	0.5	0.54	0.54	ZEST.MI	0.59	0.64	0.59	0.64			0.0		1.0	0																													0.0	0.0	0.0	0.0	0.0	0.0		0.0
67319	0.55	0.52	0.54	0.53	0.53	ZEST.MI	0.66	0.67	0.63	0.64			0.0		1.0	0							0.55		0.55										0.67		0.67								-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
14880	0.51	0.49	0.51	0.5	0.5	ZEST.MI	0.63	0.64	0.61	0.62			0.0		1.0	0																													-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
52583	0.51	0.47	0.5	0.49	0.49	ZEST.MI	0.6	0.62	0.57	0.6			0.0		1.0	0								0.47																					-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
20535	0.51	0.48	0.49	0.5	0.5	ZEST.MI	0.58	0.61	0.57	0.59			0.0		1.0	0							0.51																						0.0	0.0	0.0	0.0	0.0	0.0		0.0
24382	0.5	0.47	0.49	0.5	0.5	ZEST.MI	0.57	0.59	0.56	0.59			0.0		1.0	0								0.47												0.56									0.0	0.0	0.0	0.0	0.0	0.0		0.0
36030	0.53	0.48	0.48	0.52	0.52	ZEST.MI	0.55	0.61	0.55	0.6			0.0		1.0	0																			0.61										0.0	0.0	0.0	0.0	0.0	0.0		0.0
29702	0.52	0.51	0.51	0.51	0.51	ZEST.MI	0.58	0.59	0.58	0.58			0.0		1.0	0																													-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
33680	0.52	0.5	0.51	0.51	0.51	ZEST.MI	0.58	0.59	0.57	0.57			0.0		1.0	0																													0.0	0.0	0.0	0.0	0.0	0.0		0.0
10182	0.52	0.5	0.51	0.5	0.5	ZEST.MI	0.57	0.59	0.56	0.57			0.0		1.0	0																				0.56									-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
44664	0.52	0.5	0.51	0.52	0.52	ZEST.MI	0.59	0.6	0.58	0.6			0.0		1.0	0							0.52												0.6										0.0	0.0	0.0	0.0	0.0	0.0		0.0
8282	0.52	0.5	0.52	0.52	0.52	ZEST.MI	0.6	0.6	0.58	0.6			0.0		1.0	0																													0.0	0.0	0.0	0.0	0.0	0.0		0.0
44065	0.52	0.49	0.5	0.51	0.51	ZEST.MI	0.57	0.59	0.56	0.59			0.0		1.0	0																													-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
24150	0.51	0.49	0.49	0.5	0.5	ZEST.MI	0.56	0.59	0.56	0.57			0.0		1.0	0																													-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
34147	0.51	0.48	0.5	0.5	0.5	ZEST.MI	0.54	0.55	0.52	0.54			0.0		1.0	0								0.48												0.52									0.0	0.0	0.0	0.0	0.0	0.0		0.0
2265	0.51	0.5	0.51	0.51	0.51	ZEST.MI	0.55	0.55	0.54	0.55			0.0		1.0	0																													0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.51	0.51	0.51	0.51	0.51	ZEST.MI	0.56	0.56	0.56	0.56			0.0		1.0	0							0.51												0.56										0.0	0.0	0.0	0.0	0.0	0.0		0.0
6205	0.5	0.49	0.5	0.5	0.5	ZEST.MI	0.56	0.56	0.54	0.56			0.0		1.0	0																													-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
93585	0.5	0.47	0.5	0.47	0.47	ZEST.MI	0.56	0.56	0.52	0.52			0.0		1.0	0																				0.52		0.52							-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
3888	0.49	0.47	0.48	0.49	0.49	ZEST.MI	0.53	0.55	0.53	0.55			0.0		1.0	0								0.47		0.47									0.55										0.0	0.0	0.0	0.0	0.0	0.0		0.0
7583	0.49	0.47	0.49	0.49	0.49	ZEST.MI	0.54	0.54	0.52	0.54			0.0		-1.0	0																				0.52									0.0	0.0	0.0	0.0	0.0	0.0		0.0
23816	0.5	0.48	0.48	0.5	0.5	ZEST.MI	0.54	0.55	0.53	0.55			0.0		-1.0	0																													0.0	0.0	0.0	0.0	0.0	0.0		0.0
10495	0.5	0.48	0.48	0.5	0.5	ZEST.MI	0.54	0.56	0.54	0.56			0.0		-1.0	0																													0.0	0.0	0.0	0.0	0.0	0.0		0.0
48743	0.51	0.5	0.5	0.5	0.5	ZEST.MI	0.57	0.58	0.57	0.57			0.0		-1.0	0																													0.0	0.0	0.0	0.0	0.0	0.0		0.0
29839	0.5	0.5	0.5	0.5	0.5	ZEST.MI	0.57	0.58	0.57	0.57			0.0		-1.0	0																													0.0	0.0	0.0	0.0	0.0	0.0		0.0
14418	0.51	0.51	0.51	0.51	0.51	ZEST.MI	0.57	0.58	0.57	0.57			0.0		-1.0	0																													0.0	0.0	0.0	0.0	0.0	0.0		0.0
6974	0.51	0.51	0.51	0.51	0.51	ZEST.MI	0.59	0.59	0.58	0.58			0.0		-1.0	0																													0.0	0.0	0.0	0.0	0.0	0.0		0.0
13137	0.51	0.51	0.51	0.51	0.51	ZEST.MI	0.59	0.6	0.59	0.6			0.0		-1.0	0																													0.0	0.0	0.0	0.0	0.0	0.0		0.0
36848	0.54	0.51	0.51	0.52	0.52	ZEST.MI	0.6	0.64	0.6	0.61			0.0		1.0	0																													0.0	0.0	0.0	0.0	0.0	0.0		0.0
140758	0.58	0.53	0.53	0.57	0.57	ZEST.MI	0.64	0.71	0.64	0.69			0.0	1.0	1.0	1																													0.0	0.0	0.0	0.0	0.0	0.0		0.0
232387	0.63	0.56	0.58	0.56	0.56	ZEST.MI	0.7	0.76	0.67	0.68			0.0	1.0	1.0	1																													-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
