volume	high	low	open	close	adj_close	ticker	ropen	rhigh	rlow	rclose	rhi_100	rlo_100	rbo_100	rtt_50	rtt_20	rtt_5020	rema_50100	rema_100150	rema_50100150	rsma_50100	rsma_100150	rsma_50100150	hi1	lo1	hi2	lo2	hi3	lo3	hi4	lo4	rg	flr	clg	rg_ch	rh1	rl1	rh2	rl2	rh3	rl3	rrt	rrg	rflr	rclg	rrg_ch	rbo_100_chg1D	rbo_100_chg1D_fx	rbo_100_PL_cum	rbo_100_returns	rbo_100_log_returns	rbo_100_cumul	stop_loss	rbo_100_PL_cum_fx
10000	0.71	0.71	0.71	0.71	0.71	SEIF.MI	0.69	0.7	0.69	0.7			0.0	-1.0	-1.0	0																			0.7											0.0	0.0	0.0	0.0	0.0	0.0		0.0
2000	0.71	0.71	0.71	0.71	0.71	SEIF.MI	0.69	0.69	0.69	0.69			0.0	-1.0	-1.0	0																														0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.71	0.71	0.71	0.71	0.71	SEIF.MI	0.69	0.69	0.69	0.69			0.0	-1.0	-1.0	0																														0.0	0.0	0.0	0.0	0.0	0.0		0.0
2000	0.69	0.69	0.69	0.69	0.69	SEIF.MI	0.66	0.66	0.66	0.66			0.0	-1.0	-1.0	0																														-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
12000	0.69	0.68	0.69	0.68	0.68	SEIF.MI	0.66	0.66	0.65	0.65			0.0	-1.0	-1.0	-1								0.68												0.65		0.65								-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
0	0.68	0.68	0.68	0.68	0.68	SEIF.MI	0.66	0.66	0.66	0.66			0.0	-1.0	-1.0	-1																														0.0	0.0	0.0	0.0	0.0	0.0		0.0
4000	0.71	0.68	0.68	0.71	0.71	SEIF.MI	0.66	0.69	0.66	0.69			0.0	-1.0	-1.0	-1																														0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.71	0.71	0.71	0.71	0.71	SEIF.MI	0.7	0.7	0.7	0.7			0.0	-1.0	1.0	-1							0.71												0.7											0.0	0.0	0.0	0.0	0.0	0.0		0.0
18000	0.71	0.68	0.69	0.71	0.71	SEIF.MI	0.68	0.7	0.67	0.7			0.0	-1.0	1.0	-1																														0.0	0.0	0.0	0.0	0.0	0.0		0.0
4000	0.71	0.69	0.69	0.71	0.71	SEIF.MI	0.68	0.69	0.68	0.69			0.0	-1.0	1.0	-1																														0.0	0.0	0.0	0.0	0.0	0.0		0.0
4000	0.69	0.69	0.69	0.69	0.69	SEIF.MI	0.69	0.69	0.69	0.69			0.0	-1.0	1.0	-1																				0.69										-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
6000	0.68	0.68	0.68	0.68	0.68	SEIF.MI	0.69	0.69	0.69	0.69			0.0	-1.0	1.0	-1																														-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
26000	0.68	0.65	0.67	0.68	0.68	SEIF.MI	0.69	0.7	0.67	0.7			0.0	-1.0	1.0	-1								0.65																						0.0	0.0	0.0	0.0	0.0	0.0		0.0
18000	0.69	0.67	0.69	0.67	0.67	SEIF.MI	0.71	0.71	0.69	0.69			0.0	-1.0	1.0	-1							0.69												0.71		0.71									-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
2000	0.67	0.67	0.67	0.67	0.67	SEIF.MI	0.68	0.68	0.68	0.68			0.0	-1.0	1.0	-1																														0.0	0.0	0.0	0.0	0.0	0.0		0.0
28000	0.66	0.63	0.64	0.66	0.66	SEIF.MI	0.66	0.68	0.66	0.68			0.0	-1.0	1.0	-1																														-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
6000	0.65	0.64	0.65	0.64	0.64	SEIF.MI	0.67	0.67	0.66	0.66			0.0	-1.0	1.0	-1								0.64		0.64										0.66		0.66								-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
4000	0.66	0.65	0.65	0.66	0.66	SEIF.MI	0.67	0.68	0.67	0.68	0.83	0.65	0.0	-1.0	1.0	-1	-1.0			-1.0																										0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.66	0.66	0.66	0.66	0.66	SEIF.MI	0.69	0.69	0.69	0.69	0.83	0.65	0.0	-1.0	1.0	-1	-1.0			-1.0															0.69											0.0	0.0	0.0	0.0	0.0	0.0		0.0
2000	0.67	0.67	0.67	0.67	0.67	SEIF.MI	0.69	0.69	0.69	0.69	0.8	0.65	0.0	-1.0	1.0	-1	-1.0			-1.0																										0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.67	0.67	0.67	0.67	0.67	SEIF.MI	0.68	0.68	0.68	0.68	0.79	0.65	0.0	-1.0	1.0	-1	-1.0			-1.0																0.68										0.0	0.0	0.0	0.0	0.0	0.0		0.0
2000	0.67	0.67	0.67	0.67	0.67	SEIF.MI	0.69	0.69	0.69	0.69	0.79	0.65	0.0	-1.0	1.0	-1	-1.0			-1.0			0.67												0.69											0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.67	0.67	0.67	0.67	0.67	SEIF.MI	0.68	0.68	0.68	0.68	0.78	0.65	0.0	-1.0	1.0	-1	-1.0			-1.0																										0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.67	0.67	0.67	0.67	0.67	SEIF.MI	0.68	0.68	0.68	0.68	0.76	0.65	0.0	-1.0	1.0	-1	-1.0			-1.0																										0.0	0.0	0.0	0.0	0.0	0.0		0.0
4000	0.66	0.66	0.66	0.66	0.66	SEIF.MI	0.68	0.68	0.68	0.68	0.76	0.65	0.0	-1.0	1.0	-1	-1.0			-1.0				0.66																						-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
2000	0.67	0.67	0.67	0.67	0.67	SEIF.MI	0.68	0.68	0.68	0.68	0.75	0.65	0.0	-1.0	1.0	-1	-1.0			-1.0																										0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.67	0.67	0.67	0.67	0.67	SEIF.MI	0.67	0.67	0.67	0.67	0.75	0.65	0.0	-1.0	1.0	-1	-1.0			-1.0																										0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.67	0.67	0.67	0.67	0.67	SEIF.MI	0.67	0.67	0.67	0.67	0.75	0.65	0.0	-1.0	1.0	-1	-1.0			-1.0																										0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.67	0.67	0.67	0.67	0.67	SEIF.MI	0.66	0.66	0.66	0.66	0.75	0.65	0.0	-1.0	1.0	-1	-1.0			-1.0																										0.0	0.0	0.0	0.0	0.0	0.0		0.0
4000	0.68	0.66	0.68	0.66	0.66	SEIF.MI	0.68	0.68	0.65	0.65	0.75	0.65	0.0	-1.0	-1.0	-1	-1.0			-1.0																										-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
16000	0.7	0.64	0.64	0.67	0.67	SEIF.MI	0.63	0.69	0.63	0.66	0.75	0.63	-1.0	-1.0	-1.0	0	-1.0			-1.0																										0.0	0.0	0.0	0.0	0.0	0.0	0.7	0.0
0	0.67	0.67	0.67	0.67	0.67	SEIF.MI	0.66	0.66	0.66	0.66	0.75	0.63	-1.0	-1.0	-1.0	0	-1.0			-1.0																										-0.0	-0.0	0.0	-0.0	-0.0	0.0	0.7	0.0
4000	0.68	0.68	0.68	0.68	0.68	SEIF.MI	0.66	0.66	0.66	0.66	0.75	0.63	-1.0	-1.0	-1.0	0	-1.0			-1.0			0.68																							-0.010000000000000009	-0.010000000000000009	-0.010000000000000009	-0.014925373134328401	-0.014815085785140682	-0.014705882352941235	0.7	-0.010000000000000009
0	0.68	0.68	0.68	0.68	0.68	SEIF.MI	0.65	0.65	0.65	0.65	0.75	0.63	-1.0	-1.0	-1.0	0	-1.0			-1.0																										-0.0	-0.0	-0.010000000000000009	-0.0	-0.0	-0.014705882352941235	0.7	-0.010000000000000009
4000	0.67	0.67	0.67	0.67	0.67	SEIF.MI	0.64	0.64	0.64	0.64	0.75	0.63	-1.0	-1.0	-1.0	0	-1.0			-1.0																0.64										0.010000000000000009	0.010000000000000009	0.0	0.014705882352941235	0.0148150857851407	0.0	0.7	0.0
6000	0.67	0.67	0.67	0.67	0.67	SEIF.MI	0.64	0.64	0.64	0.64	0.75	0.63	-1.0	-1.0	-1.0	0	-1.0			-1.0																										-0.0	-0.0	0.0	-0.0	-0.0	0.0	0.7	0.0
2000	0.67	0.67	0.67	0.67	0.67	SEIF.MI	0.65	0.65	0.65	0.65	0.75	0.63	-1.0	-1.0	-1.0	0	-1.0			-1.0				0.67											0.65											-0.0	-0.0	0.0	-0.0	-0.0	0.0	0.7	0.0
0	0.67	0.67	0.67	0.67	0.67	SEIF.MI	0.65	0.65	0.65	0.65	0.75	0.63	-1.0	-1.0	-1.0	0	-1.0			-1.0																										-0.0	-0.0	0.0	-0.0	-0.0	0.0	0.7	0.0
0	0.67	0.67	0.67	0.67	0.67	SEIF.MI	0.64	0.64	0.64	0.64	0.75	0.63	-1.0	-1.0	-1.0	0	-1.0			-1.0																0.64										-0.0	-0.0	0.0	-0.0	-0.0	0.0	0.7	0.0
22000	0.69	0.68	0.68	0.68	0.68	SEIF.MI	0.65	0.66	0.65	0.65	0.75	0.63	-1.0	-1.0	-1.0	0	-1.0			-1.0			0.69		0.69																					-0.010000000000000009	-0.010000000000000009	-0.010000000000000009	-0.014925373134328401	-0.014815085785140682	-0.014705882352941235	0.7	-0.010000000000000009
0	0.68	0.68	0.68	0.68	0.68	SEIF.MI	0.65	0.65	0.65	0.65	0.75	0.63	-1.0	-1.0	-1.0	0	-1.0			-1.0															0.65											-0.0	-0.0	-0.010000000000000009	-0.0	-0.0	-0.014705882352941235	0.7	-0.010000000000000009
2000	0.67	0.67	0.67	0.67	0.67	SEIF.MI	0.65	0.65	0.65	0.65	0.75	0.63	-1.0	-1.0	-1.0	0	-1.0			-1.0				0.67																						0.010000000000000009	0.010000000000000009	0.0	0.014705882352941235	0.0148150857851407	0.0	0.7	0.0
2000	0.67	0.67	0.67	0.67	0.67	SEIF.MI	0.64	0.64	0.64	0.64	0.75	0.63	-1.0	-1.0	-1.0	0	-1.0			-1.0																0.64										-0.0	-0.0	0.0	-0.0	-0.0	0.0	0.7	0.0
22000	0.7	0.67	0.7	0.68	0.68	SEIF.MI	0.66	0.66	0.64	0.65	0.75	0.63	-1.0	-1.0	-1.0	0	-1.0			-1.0															0.66											-0.010000000000000009	-0.010000000000000009	-0.010000000000000009	-0.014925373134328401	-0.014815085785140682	-0.014705882352941235	0.7	-0.010000000000000009
14000	0.68	0.66	0.66	0.68	0.68	SEIF.MI	0.63	0.65	0.63	0.65	0.75	0.63	-1.0	-1.0	-1.0	0	-1.0			-1.0			0.68													0.63										-0.0	-0.0	-0.010000000000000009	-0.0	-0.0	-0.014705882352941235	0.7	-0.010000000000000009
0	0.68	0.68	0.68	0.68	0.68	SEIF.MI	0.66	0.66	0.66	0.66	0.75	0.63	-1.0	-1.0	-1.0	0	-1.0			-1.0															0.66											-0.0	-0.0	-0.010000000000000009	-0.0	-0.0	-0.014705882352941235	0.7	-0.010000000000000009
14000	0.68	0.66	0.68	0.66	0.66	SEIF.MI	0.65	0.65	0.63	0.63	0.75	0.63	-1.0	-1.0	-1.0	0	-1.0			-1.0																										0.020000000000000018	0.020000000000000018	0.010000000000000009	0.02941176470588236	0.02985296314968116	0.015151515151515138	0.7	0.010000000000000009
