volume	high	low	open	close	adj_close	ticker	ropen	rhigh	rlow	rclose	rhi_100	rlo_100	rbo_100	rtt_50	rtt_20	rtt_5020	rema_50100	rema_100150	rema_50100150	rsma_50100	rsma_100150	rsma_50100150	hi1	lo1	hi2	lo2	hi3	lo3	hi4	lo4	rt	rg	flr	clg	rg_ch	rh1	rl1	rh2	rl2	rh3	rl3	rrt	rrg	rflr	rclg	rrg_ch	rbo_100_chg1D	rbo_100_chg1D_fx	rbo_100_PL_cum	rbo_100_returns	rbo_100_log_returns	rbo_100_cumul	stop_loss	rbo_100_PL_cum_fx
108388	0.22	0.2	0.2	0.22	0.12	CNF.MI	0.25	0.27	0.25	0.27			0.0		-1.0	0																															0.0	0.0	0.0	0.0	0.0	0.0		0.0
10048	0.22	0.21	0.21	0.22	0.12	CNF.MI	0.26	0.27	0.26	0.27			0.0		-1.0	0																				0.27											0.0	0.0	0.0	0.0	0.0	0.0		0.0
94375	0.23	0.21	0.21	0.23	0.13	CNF.MI	0.25	0.27	0.25	0.27			0.0		-1.0	0																					0.25										0.0	0.0	0.0	0.0	0.0	0.0		0.0
67467	0.24	0.22	0.23	0.24	0.13	CNF.MI	0.27	0.29	0.27	0.28			0.0		-1.0	0																															0.0	0.0	0.0	0.0	0.0	0.0		0.0
37877	0.24	0.23	0.24	0.24	0.13	CNF.MI	0.3	0.3	0.29	0.3			0.0		1.0	0																				0.3											0.0	0.0	0.0	0.0	0.0	0.0		0.0
4000	0.24	0.23	0.23	0.24	0.13	CNF.MI	0.28	0.29	0.28	0.29			0.0		1.0	0																					0.28										0.0	0.0	0.0	0.0	0.0	0.0		0.0
101664	0.26	0.24	0.24	0.26	0.14	CNF.MI	0.28	0.31	0.28	0.3			0.0		1.0	0																															0.0	0.0	0.0	0.0	0.0	0.0		0.0
163432	0.28	0.26	0.26	0.27	0.15	CNF.MI	0.31	0.33	0.31	0.32			0.0		1.0	0																															0.0	0.0	0.0	0.0	0.0	0.0		0.0
128091	0.29	0.27	0.27	0.29	0.16	CNF.MI	0.31	0.33	0.31	0.33			0.0		1.0	0																															0.0	0.0	0.0	0.0	0.0	0.0		0.0
102312	0.3	0.29	0.29	0.29	0.17	CNF.MI	0.33	0.34	0.33	0.34			0.0		1.0	0							0.3													0.34											0.0	0.0	0.0	0.0	0.0	0.0		0.0
262716	0.29	0.28	0.29	0.28	0.16	CNF.MI	0.33	0.33	0.31	0.32			0.0		1.0	0								0.28													0.31										-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
51638	0.29	0.28	0.28	0.29	0.16	CNF.MI	0.32	0.32	0.32	0.32			0.0		1.0	0																															0.0	0.0	0.0	0.0	0.0	0.0		0.0
89190	0.3	0.28	0.29	0.3	0.17	CNF.MI	0.33	0.34	0.32	0.34			0.0		1.0	0																															0.0	0.0	0.0	0.0	0.0	0.0		0.0
43809	0.3	0.29	0.29	0.3	0.17	CNF.MI	0.33	0.35	0.33	0.35			0.0		1.0	0																															0.0	0.0	0.0	0.0	0.0	0.0		0.0
367633	0.33	0.3	0.3	0.31	0.18	CNF.MI	0.34	0.38	0.34	0.36			0.0		1.0	0																		0.33		0.38		0.38									0.0	0.0	0.0	0.0	0.0	0.0		0.0
145751	0.32	0.3	0.32	0.31	0.18	CNF.MI	0.37	0.37	0.34	0.36			0.0		1.0	0																															0.0	0.0	0.0	0.0	0.0	0.0		0.0
38622	0.32	0.3	0.31	0.32	0.18	CNF.MI	0.34	0.35	0.33	0.35			0.0		1.0	0																															0.0	0.0	0.0	0.0	0.0	0.0		0.0
6905	0.32	0.31	0.31	0.31	0.17	CNF.MI	0.34	0.35	0.34	0.34			0.0		1.0	0																					0.34										-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
14371	0.31	0.3	0.31	0.31	0.17	CNF.MI	0.34	0.35	0.33	0.35			0.0		1.0	0																															0.0	0.0	0.0	0.0	0.0	0.0		0.0
3000	0.31	0.31	0.31	0.31	0.17	CNF.MI	0.34	0.34	0.34	0.34			0.0		1.0	0																															0.0	0.0	0.0	0.0	0.0	0.0		0.0
45024	0.31	0.31	0.31	0.31	0.17	CNF.MI	0.34	0.35	0.34	0.35			0.0		1.0	0																															0.0	0.0	0.0	0.0	0.0	0.0		0.0
56664	0.32	0.31	0.31	0.31	0.18	CNF.MI	0.35	0.35	0.35	0.35			0.0		1.0	0																															0.0	0.0	0.0	0.0	0.0	0.0		0.0
56914	0.32	0.31	0.31	0.31	0.18	CNF.MI	0.34	0.35	0.34	0.35			0.0		1.0	0																															0.0	0.0	0.0	0.0	0.0	0.0		0.0
27080	0.32	0.31	0.32	0.31	0.18	CNF.MI	0.35	0.35	0.35	0.35			0.0		1.0	0							0.32		0.32																						0.0	0.0	0.0	0.0	0.0	0.0		0.0
