volume	high	low	open	close	adj_close	ticker	ropen	rhigh	rlow	rclose	rhi_100	rlo_100	rbo_100	rtt_50	rtt_20	rtt_5020	rema_50100	rema_100150	rema_50100150	rsma_50100	rsma_100150	rsma_50100150	hi1	lo1	hi2	lo2	hi3	lo3	hi4	lo4	rt	rg	flr	clg	rg_ch	rh1	rl1	rh2	rl2	rh3	rl3	rh4	rl4	rrg	rflr	rclg	rrg_ch	rbo_100_chg1D	rbo_100_chg1D_fx	rbo_100_PL_cum	rbo_100_returns	rbo_100_log_returns	rbo_100_cumul	stop_loss	rbo_100_PL_cum_fx
32000	1.66	1.52	1.66	1.66	1.65	UD.MI	1.42	1.42	1.3	1.42			0.0		-1.0	0								1.52		1.52																						0.0	0.0	0.0	0.0	0.0	0.0		0.0
4000	1.69	1.62	1.69	1.62	1.61	UD.MI	1.5	1.5	1.44	1.44			0.0		-1.0	0																				1.5		1.5										-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
1000	1.64	1.64	1.64	1.64	1.63	UD.MI	1.43	1.43	1.43	1.43			0.0		-1.0	0																					1.43											0.0	0.0	0.0	0.0	0.0	0.0		0.0
84000	1.65	1.61	1.65	1.65	1.64	UD.MI	1.45	1.45	1.42	1.45			0.0		-1.0	0																																0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	1.65	1.65	1.65	1.65	1.64	UD.MI	1.45	1.45	1.45	1.45			0.0		-1.0	0																				1.45												0.0	0.0	0.0	0.0	0.0	0.0		0.0
8000	1.68	1.6	1.6	1.68	1.67	UD.MI	1.39	1.46	1.39	1.46			0.0		-1.0	0																					1.39		1.39									0.0	0.0	0.0	0.0	0.0	0.0		0.0
16000	1.73	1.65	1.68	1.73	1.72	UD.MI	1.46	1.5	1.44	1.5			0.0		-1.0	0																																0.0	0.0	0.0	0.0	0.0	0.0		0.0
2000	1.73	1.73	1.73	1.73	1.72	UD.MI	1.49	1.49	1.49	1.49			0.0		-1.0	0							1.73																									0.0	0.0	0.0	0.0	0.0	0.0		0.0
3000	1.76	1.7	1.76	1.7	1.68	UD.MI	1.55	1.55	1.49	1.49			0.0		-1.0	0																																-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
7000	1.72	1.72	1.72	1.72	1.71	UD.MI	1.54	1.54	1.54	1.54			0.0		-1.0	0								1.72												1.54												0.0	0.0	0.0	0.0	0.0	0.0		0.0
14000	1.75	1.71	1.74	1.71	1.7	UD.MI	1.56	1.57	1.53	1.53			0.0		1.0	0																																-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
49000	1.79	1.67	1.71	1.77	1.76	UD.MI	1.49	1.56	1.46	1.54			0.0		1.0	0																					1.46											0.0	0.0	0.0	0.0	0.0	0.0		0.0
21000	1.85	1.73	1.8	1.73	1.71	UD.MI	1.6	1.64	1.53	1.53			0.0		1.0	0							1.85		1.85		1.85									1.64		1.64		1.64								-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
21000	1.7	1.67	1.7	1.68	1.67	UD.MI	1.49	1.49	1.47	1.48			0.0		1.0	0								1.67		1.67											1.47											-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
1000	1.69	1.69	1.69	1.69	1.68	UD.MI	1.5	1.5	1.5	1.5			0.0		1.0	0																				1.5												0.0	0.0	0.0	0.0	0.0	0.0		0.0
12000	1.74	1.66	1.66	1.7	1.69	UD.MI	1.45	1.52	1.45	1.48			0.0		1.0	0							1.74																									0.0	0.0	0.0	0.0	0.0	0.0		0.0
5000	1.7	1.68	1.7	1.68	1.67	UD.MI	1.46	1.46	1.44	1.44			0.0		1.0	0																																-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
0	1.68	1.68	1.68	1.68	1.67	UD.MI	1.42	1.42	1.42	1.42			0.0		1.0	0								1.68													1.42											0.0	0.0	0.0	0.0	0.0	0.0		0.0
18000	1.73	1.63	1.67	1.73	1.71	UD.MI	1.41	1.46	1.38	1.46			0.0		1.0	0																																0.0	0.0	0.0	0.0	0.0	0.0		0.0
20000	1.79	1.74	1.74	1.77	1.76	UD.MI	1.43	1.47	1.43	1.46			0.0		1.0	0																																0.0	0.0	0.0	0.0	0.0	0.0		0.0
