date	volume	high	low	open	close	adj_close	ticker	ropen	rhigh	rlow	rclose	rhi_100	rlo_100	rbo_100	rtt_50	rtt_20	rtt_5020	rema_50100	rema_100150	rema_50100150	rsma_50100	rsma_100150	rsma_50100150	hi1	lo1	hi2	lo2	hi3	lo3	hi4	lo4	rt	rg	flr	clg	rg_ch	rh1	rl1	rh2	rl2	rh3	rl3	rh4	rl4	rrt	rrg	rflr	rclg	rrg_ch	rbo_100_chg1D	rbo_100_chg1D_fx	rbo_100_PL_cum	rbo_100_returns	rbo_100_log_returns	rbo_100_cumul	stop_loss	rbo_100_PL_cum_fx	rbo_100_trading_edge	rbo_100_geometric_expectancy	rbo_100_kelly	rbo_100_constant	rbo_100_concave	rbo_100_convex	rbo_100_equal_weight	EUR	rtt_5020_chg1D	rtt_5020_chg1D_fx	rtt_5020_PL_cum	rtt_5020_returns	rtt_5020_log_returns	rtt_5020_cumul	rtt_5020_PL_cum_fx	rtt_5020_trading_edge	rtt_5020_geometric_expectancy	rtt_5020_kelly	rtt_5020_constant	rtt_5020_concave	rtt_5020_convex	rtt_5020_equal_weight	rema_50100150_chg1D	rema_50100150_chg1D_fx	rema_50100150_PL_cum	rema_50100150_returns	rema_50100150_log_returns	rema_50100150_cumul	rema_50100150_PL_cum_fx	rema_50100150_trading_edge	rema_50100150_geometric_expectancy	rema_50100150_kelly	rema_50100150_constant	rema_50100150_concave	rema_50100150_convex	rema_50100150_equal_weight	rsma_50100150_chg1D	rsma_50100150_chg1D_fx	rsma_50100150_PL_cum	rsma_50100150_returns	rsma_50100150_log_returns	rsma_50100150_cumul	rsma_50100150_PL_cum_fx	rsma_50100150_trading_edge	rsma_50100150_geometric_expectancy	rsma_50100150_kelly	rsma_50100150_constant	rsma_50100150_concave	rsma_50100150_convex	rsma_50100150_equal_weight	rrg_chg1D	rrg_chg1D_fx	rrg_PL_cum	rrg_returns	rrg_log_returns	rrg_cumul	rrg_PL_cum_fx	rrg_trading_edge	rrg_geometric_expectancy	rrg_kelly	rrg_constant	rrg_concave	rrg_convex	rrg_equal_weight
2025-10-01 07:00:00	3500	6.45	6.35	6.35	6.45	6.39	ABP.MI	3.63	3.69	3.63	3.69	4.03	3.04	1.0	1.0	1.0	1	1.0	1.0	1.0	1.0	1.0	1.0										1.0			4.58		3.63								1.0			3.47	0.1	0.1	-2.07	0.02	0.02	-0.38	6.0	-2.07	0.0	0.0	68.23					1	0.1	0.1	0.31	0.02	0.02	-0.04	0.31	0.0	0.0	408.56					0.1	0.1	3.17	0.02	0.02	0.95	3.17	0.0	0.0	139.17					0.1	0.1	-1.33	0.02	0.02	-0.38	-1.33	0.0	0.0	147.95					0.10000000000000053	0.10000000000000053	0.9100000000000015	0.015748031496063186	0.015625317903081033	0.17751879639941803	0.9100000000000015	0.0017230142102384453	0.0017221642599185571	432.5176948939138				
2025-10-02 07:00:00	10000	6.75	6.5	6.5	6.75	6.68	ABP.MI	3.72	3.86	3.72	3.86	4.03	3.04	1.0	1.0	1.0	1	1.0	1.0	1.0	1.0	1.0	1.0										1.0			4.58										1.0			3.47	0.3	0.3	-1.77	0.05	0.05	-0.35	6.0	-1.77	0.0	0.0	74.33					1	0.3	0.3	0.61	0.05	0.05	0.01	0.61	0.0	0.0	411.19					0.3	0.3	3.47	0.05	0.05	1.04	3.47	0.0	0.0	142.65					0.3	0.3	-1.03	0.05	0.05	-0.35	-1.03	0.0	0.0	151.22					0.2999999999999998	0.2999999999999998	1.2100000000000013	0.046511627906976605	0.0454623740767572	0.23228711251101863	1.2100000000000013	0.002123083102113908	0.002122029766704392	441.8249280488588				
2025-10-03 07:00:00	117000	7.2	6.8	6.95	7.1	7.03	ABP.MI	3.96	4.1	3.87	4.04	4.1	3.04	1.0	1.0	1.0	1	1.0	1.0	1.0	1.0	1.0	1.0										1.0			4.58										1.0			3.47	0.35	0.35	-1.42	0.05	0.05	-0.32	6.0	-1.42	0.0	0.0	79.93					1	0.35	0.35	0.96	0.05	0.05	0.06	0.96	0.0	0.0	413.57					0.35	0.35	3.82	0.05	0.05	1.15	3.82	0.0	0.0	145.98					0.35	0.35	-0.68	0.05	0.05	-0.31	-0.68	0.0	0.0	154.36					0.34999999999999964	0.34999999999999964	1.560000000000001	0.051851851851851816	0.05055227916283125	0.2961834813078863	1.560000000000001	0.002567943158746823	0.002566638121817677	449.03414613609556				
2025-10-06 07:00:00	76500	7.4	7.1	7.1	7.2	7.13	ABP.MI	4.05	4.23	4.05	4.11	4.23	3.04	1.0	1.0	1.0	1	1.0	1.0	1.0	1.0	1.0	1.0	7.4		7.4							1.0			4.58	4.23		4.23							1.0			3.47	0.1	0.1	-1.32	0.01	0.01	-0.31	6.0	-1.32	0.0	0.0	87.76					1	0.1	0.1	1.06	0.01	0.01	0.07	1.06	0.0	0.0	414.15					0.1	0.1	3.92	0.01	0.01	1.18	3.92	0.0	0.0	146.23					0.1	0.1	-0.58	0.01	0.01	-0.3	-0.58	0.0	0.0	154.59					0.10000000000000053	0.10000000000000053	1.6600000000000015	0.014084507042253502	0.01398624197473987	0.31443958667841976	1.6600000000000015	0.002691022088124534	0.002689642664440939	450.6391530162946				
2025-10-07 07:00:00	30000	7.5	6.95	7.5	7.05	6.98	ABP.MI	4.29	4.29	3.98	4.03	4.29	3.04	1.0	1.0	1.0	1	1.0	1.0	1.0	1.0	1.0	1.0										1.0			4.58										1.0			3.47	-0.15	-0.15	-1.47	-0.02	-0.02	-0.33	6.0	-1.47	0.0	0.0	78.38					1	-0.15	-0.15	0.91	-0.02	-0.02	0.05	0.91	0.0	0.0	367.19					-0.15	-0.15	3.77	-0.02	-0.02	1.13	3.77	0.0	0.0	132.58					-0.15	-0.15	-0.73	-0.02	-0.02	-0.32	-0.73	0.0	0.0	140.38					-0.15000000000000036	-0.15000000000000036	1.5100000000000011	-0.02083333333333337	-0.02105340919783238	0.28705542862261924	1.5100000000000011	0.0026125370503074646	0.0026109352654559714	391.84578599971917				
2025-10-08 07:00:00	5500	7.1	6.95	7.05	7.05	6.98	ABP.MI	3.99	4.02	3.94	3.99	4.29	3.04	1.0	1.0	1.0	1	1.0	1.0	1.0	1.0	1.0	1.0										1.0			4.58		3.94								1.0			3.47	0.0	0.0	-1.47	0.0	0.0	-0.33	6.0	-1.47	0.0	0.0	78.38					1	0.0	0.0	0.91	0.0	0.0	0.05	0.91	0.0	0.0	367.19					0.0	0.0	3.77	0.0	0.0	1.13	3.77	0.0	0.0	132.58					0.0	0.0	-0.73	0.0	0.0	-0.32	-0.73	0.0	0.0	140.38					0.0	0.0	1.5100000000000011	0.0	0.0	0.28705542862261924	1.5100000000000011	0.0026125370503074646	0.0026109352654559714	391.84578599971917				
2025-10-09 07:00:00	5000	7.0	6.95	6.95	7.0	6.93	ABP.MI	4.0	4.03	4.0	4.03	4.29	3.04	1.0	1.0	1.0	1	1.0	1.0	1.0	1.0	1.0	1.0										1.0			4.58										1.0			3.47	-0.05	-0.05	-1.52	-0.01	-0.01	-0.33	6.0	-1.52	0.0	0.0	71.93					1	-0.05	-0.05	0.86	-0.01	-0.01	0.04	0.86	0.0	0.0	349.05					-0.05	-0.05	3.72	-0.01	-0.01	1.12	3.72	0.0	0.0	133.76					-0.05	-0.05	-0.78	-0.01	-0.01	-0.32	-0.78	0.0	0.0	141.63					-0.04999999999999982	-0.04999999999999982	1.4600000000000013	-0.007092198581560294	-0.0071174677688639896	0.2779273759373526	1.4600000000000013	0.002549351648651384	0.0025476005178959316	369.34018994246134				
2025-10-10 07:00:00	6000	7.0	6.9	7.0	6.9	6.83	ABP.MI	4.1	4.1	4.04	4.04	4.29	3.04	1.0	1.0	1.0	1	1.0	1.0	1.0	1.0	1.0	1.0		6.9								1.0			4.58										1.0			3.47	-0.1	-0.1	-1.62	-0.01	-0.01	-0.34	6.0	-1.62	0.0	0.0	64.85					1	-0.1	-0.1	0.76	-0.01	-0.01	0.03	0.76	0.0	0.0	321.32					-0.1	-0.1	3.62	-0.01	-0.01	1.09	3.62	0.0	0.0	123.82					-0.1	-0.1	-0.88	-0.01	-0.01	-0.33	-0.88	0.0	0.0	131.34					-0.09999999999999964	-0.09999999999999964	1.3600000000000017	-0.014285714285714235	-0.014388737452099556	0.25967127056681893	1.3600000000000017	0.0024738358489166776	0.002471881048342839	335.3030071665445				
2025-10-13 07:00:00	3500	7.0	6.9	6.9	7.0	6.93	ABP.MI	4.03	4.09	4.03	4.09	4.29	3.04	1.0	1.0	1.0	1	1.0	1.0	1.0	1.0	1.0	1.0	7.0									1.0			4.58	4.09									1.0			3.47	0.1	0.1	-1.52	0.01	0.01	-0.33	6.0	-1.52	0.0	0.0	65.32					1	0.1	0.1	0.86	0.01	0.01	0.04	0.86	0.0	0.0	322.04					0.1	0.1	3.72	0.01	0.01	1.12	3.72	0.0	0.0	132.72					0.1	0.1	-0.78	0.01	0.01	-0.32	-0.78	0.0	0.0	140.44					0.09999999999999964	0.09999999999999964	1.4600000000000013	0.014492753623188248	0.014388737452099452	0.2779273759373524	1.4600000000000013	0.002596140117259523	0.002594082515930296	337.19716198495985				
2025-10-14 07:00:00	29000	7.0	6.6	7.0	6.85	6.78	ABP.MI	4.1	4.1	3.86	4.01	4.29	3.04	1.0	1.0	1.0	1	1.0	1.0	1.0	1.0	1.0	1.0		6.6		6.6						1.0			4.58		3.86		3.86						1.0			3.47	-0.15	-0.15	-1.67	-0.02	-0.02	-0.34	6.0	-1.67	0.0	0.0	67.15					1	-0.15	-0.15	0.71	-0.02	-0.02	0.02	0.71	0.0	0.0	288.4					-0.15	-0.15	3.57	-0.02	-0.02	1.07	3.57	0.0	0.0	118.24					-0.15	-0.15	-0.93	-0.02	-0.02	-0.34	-0.93	0.0	0.0	125.57					-0.15000000000000036	-0.15000000000000036	1.310000000000001	-0.021428571428571463	-0.02166149678117942	0.25054321788155187	1.310000000000001	0.002504671281362659	0.002502333505506771	296.5466822077715				
