date	volume	high	low	open	close	adj_close	ticker	ropen	rhigh	rlow	rclose	rhi_100	rlo_100	rbo_100	rtt_50	rtt_20	rtt_5020	rema_50100	rema_100150	rema_50100150	rsma_50100	rsma_100150	rsma_50100150	hi1	lo1	hi2	lo2	hi3	lo3	rt	rg	flr	clg	rg_ch	rh1	rl1	rh2	rl2	rh3	rl3	rrt	rrg	rflr	rclg	rrg_ch
2016-01-04 08:00:00	53571	0.27	0.25	0.26	0.26	0.26	MON.MI	0.26	0.27	0.26	0.26						0																0.27												
2016-01-05 08:00:00	9630	0.26	0.25	0.26	0.26	0.26	MON.MI	0.26	0.26	0.25	0.26						0																												
2016-01-06 08:00:00	2000	0.26	0.26	0.26	0.26	0.26	MON.MI	0.27	0.27	0.27	0.27						0																												
2016-01-07 08:00:00	0	0.26	0.26	0.26	0.26	0.26	MON.MI	0.27	0.27	0.27	0.27						0																												
2016-01-08 08:00:00	9799	0.27	0.25	0.26	0.27	0.27	MON.MI	0.27	0.28	0.27	0.28						0																		0.28										
2016-01-11 08:00:00	0	0.27	0.27	0.27	0.27	0.27	MON.MI	0.28	0.28	0.28	0.28						0							0.27																					
2016-01-12 08:00:00	450	0.26	0.26	0.26	0.26	0.26	MON.MI	0.27	0.27	0.27	0.27						0																												
2016-01-13 08:00:00	1534	0.26	0.26	0.26	0.26	0.26	MON.MI	0.27	0.27	0.27	0.27						0																			0.27									
2016-01-14 08:00:00	24338	0.26	0.25	0.25	0.26	0.26	MON.MI	0.27	0.27	0.26	0.27						0																												
2016-01-15 08:00:00	11610	0.26	0.25	0.25	0.26	0.26	MON.MI	0.27	0.28	0.27	0.28						0																		0.28										
2016-01-18 08:00:00	17424	0.25	0.24	0.25	0.25	0.25	MON.MI	0.28	0.28	0.27	0.28						0																												
2016-01-19 08:00:00	2025	0.25	0.24	0.25	0.25	0.25	MON.MI	0.28	0.28	0.26	0.27						0																			0.26									
2016-01-20 08:00:00	2918	0.25	0.24	0.25	0.25	0.25	MON.MI	0.29	0.29	0.27	0.28						0																		0.29		0.29								
2016-01-21 08:00:00	35341	0.25	0.22	0.25	0.24	0.24	MON.MI	0.27	0.28	0.25	0.27						0																												
2016-01-22 08:00:00	14865	0.24	0.23	0.23	0.24	0.24	MON.MI	0.25	0.26	0.25	0.26						0																												
2016-01-25 08:00:00	15799	0.24	0.23	0.23	0.24	0.24	MON.MI	0.25	0.27	0.25	0.27						0																												
2016-01-26 08:00:00	5963	0.24	0.23	0.23	0.24	0.24	MON.MI	0.25	0.27	0.25	0.26						0																												
2016-01-27 08:00:00	27636	0.23	0.23	0.23	0.23	0.23	MON.MI	0.25	0.26	0.25	0.26						0																			0.25									
2016-01-28 08:00:00	2000	0.23	0.23	0.23	0.23	0.23	MON.MI	0.26	0.26	0.26	0.26						0																												
2016-01-29 08:00:00	511	0.23	0.23	0.23	0.23	0.23	MON.MI	0.26	0.26	0.26	0.26						0																												
2016-02-01 08:00:00	11243	0.24	0.22	0.23	0.23	0.23	MON.MI	0.26	0.27	0.25	0.26					-1.0	0																												
2016-02-02 08:00:00	20393	0.23	0.22	0.23	0.23	0.23	MON.MI	0.26	0.27	0.25	0.27					-1.0	0																												
2016-02-03 08:00:00	50016	0.23	0.22	0.23	0.22	0.22	MON.MI	0.27	0.28	0.26	0.27					-1.0	0								0.22																				
2016-02-04 08:00:00	2850	0.23	0.23	0.23	0.23	0.23	MON.MI	0.27	0.27	0.27	0.27					-1.0	0							0.23											0.27										
2016-02-05 08:00:00	15698	0.23	0.22	0.22	0.23	0.23	MON.MI	0.27	0.27	0.27	0.27					-1.0	0																												
2016-02-08 08:00:00	75759	0.23	0.2	0.23	0.21	0.21	MON.MI	0.29	0.29	0.26	0.27					-1.0	0																												
2016-02-09 08:00:00	105715	0.21	0.19	0.2	0.2	0.2	MON.MI	0.26	0.27	0.25	0.26					-1.0	0								0.19		0.19									0.25									
2016-02-10 08:00:00	20200	0.21	0.2	0.2	0.21	0.21	MON.MI	0.25	0.26	0.25	0.26					-1.0	0							0.21																					
2016-02-11 08:00:00	27024	0.21	0.19	0.21	0.2	0.2	MON.MI	0.28	0.28	0.25	0.27					-1.0	0								0.19										0.28										
2016-02-12 08:00:00	4085	0.2	0.2	0.2	0.2	0.2	MON.MI	0.25	0.26	0.25	0.26					-1.0	0																												
2016-02-15 08:00:00	60783	0.21	0.2	0.2	0.21	0.21	MON.MI	0.24	0.26	0.24	0.26					-1.0	0																			0.24		0.24							
2016-02-16 08:00:00	8800	0.21	0.2	0.21	0.21	0.21	MON.MI	0.26	0.26	0.25	0.26					-1.0	0																		0.26										
2016-02-17 08:00:00	1373	0.21	0.21	0.21	0.21	0.21	MON.MI	0.25	0.25	0.25	0.25					-1.0	0																			0.25									
2016-02-18 08:00:00	23328	0.22	0.21	0.21	0.22	0.22	MON.MI	0.26	0.27	0.26	0.27					-1.0	0																												
2016-02-19 08:00:00	35113	0.25	0.22	0.22	0.23	0.23	MON.MI	0.27	0.3	0.27	0.28					1.0	0																											0.3	
2016-02-22 08:00:00	500	0.24	0.24	0.24	0.24	0.24	MON.MI	0.28	0.28	0.28	0.28					1.0	0							0.24		0.24																			
2016-02-23 08:00:00	0	0.24	0.24	0.24	0.24	0.24	MON.MI	0.29	0.29	0.29	0.29					1.0	0																		0.29		0.29								
2016-02-24 08:00:00	8030	0.23	0.22	0.22	0.23	0.23	MON.MI	0.27	0.28	0.27	0.28					1.0	0																												
2016-02-25 08:00:00	12160	0.23	0.22	0.22	0.23	0.23	MON.MI	0.27	0.28	0.26	0.28					1.0	0																												
2016-02-26 08:00:00	41484	0.23	0.21	0.22	0.22	0.22	MON.MI	0.26	0.27	0.25	0.27					1.0	0								0.21											0.25									
2016-02-29 08:00:00	8910	0.23	0.22	0.22	0.23	0.23	MON.MI	0.26	0.28	0.26	0.27					1.0	0							0.23											0.28										
2016-03-01 08:00:00	61334	0.22	0.22	0.22	0.22	0.22	MON.MI	0.26	0.26	0.25	0.26					1.0	0								0.22																				
2016-03-02 08:00:00	123102	0.23	0.22	0.22	0.22	0.22	MON.MI	0.25	0.27	0.25	0.25					1.0	0							0.23																					
2016-03-03 08:00:00	33978	0.23	0.21	0.22	0.22	0.22	MON.MI	0.25	0.26	0.24	0.24					-1.0	0																												
2016-03-04 08:00:00	4200	0.22	0.22	0.22	0.22	0.22	MON.MI	0.25	0.25	0.25	0.25					-1.0	0																												
2016-03-07 08:00:00	1600	0.22	0.22	0.22	0.22	0.22	MON.MI	0.25	0.25	0.25	0.25					-1.0	0																												
2016-03-08 08:00:00	29943	0.21	0.21	0.21	0.21	0.21	MON.MI	0.24	0.24	0.24	0.24					-1.0	0																												
2016-03-09 08:00:00	23580	0.22	0.2	0.21	0.21	0.21	MON.MI	0.23	0.24	0.23	0.24					-1.0	0																												
2016-03-10 08:00:00	2730	0.22	0.21	0.21	0.21	0.21	MON.MI	0.25	0.25	0.23	0.24					-1.0	0																												
2016-03-11 08:00:00	16350	0.22	0.21	0.21	0.21	0.21	MON.MI	0.23	0.24	0.22	0.23				-1.0	-1.0	0																												
2016-03-14 08:00:00	60585	0.22	0.2	0.21	0.22	0.22	MON.MI	0.23	0.24	0.22	0.24				-1.0	-1.0	0																												
2016-03-15 08:00:00	22812	0.21	0.2	0.21	0.21	0.21	MON.MI	0.23	0.24	0.22	0.24				-1.0	-1.0	0																			0.22		0.22							
2016-03-16 08:00:00	79516	0.21	0.2	0.2	0.21	0.21	MON.MI	0.22	0.23	0.22	0.23				-1.0	-1.0	0								0.2																				
2016-03-17 08:00:00	65601	0.21	0.2	0.21	0.21	0.21	MON.MI	0.23	0.24	0.22	0.23				-1.0	-1.0	0																												
2016-03-18 08:00:00	3000	0.21	0.21	0.21	0.21	0.21	MON.MI	0.23	0.23	0.23	0.23				-1.0	-1.0	0																												
2016-03-21 08:00:00	13600	0.21	0.2	0.21	0.21	0.21	MON.MI	0.23	0.24	0.23	0.24				-1.0	-1.0	0																												
2016-03-22 08:00:00	0	0.21	0.21	0.21	0.21	0.21	MON.MI	0.24	0.24	0.24	0.24				-1.0	-1.0	0																												
2016-03-23 08:00:00	5394	0.21	0.2	0.21	0.21	0.21	MON.MI	0.23	0.24	0.23	0.24				-1.0	-1.0	0																												
